site_no,Date,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH
1095220,8/17/2023,19.5,128.0,,6.814445407668292
1095220,8/18/2023,19.9,126.0,,6.914198269761897
1095220,8/19/2023,19.3,113.0,,6.968990049841016
1095220,8/20/2023,19.0,121.0,,6.658763479209679
1095220,8/21/2023,19.7,132.0,,6.572822376832019
1095220,8/22/2023,19.9,140.0,,7.349229254812022
1095220,8/23/2023,19.1,150.0,,7.423124986604361
1095220,8/24/2023,18.5,159.0,,7.324139454350398
1095220,8/25/2023,18.1,135.0,,6.525498317913171
1095220,8/26/2023,19.0,93.0,,7.187094665859693
1095220,8/27/2023,19.7,103.0,,7.171847767551156
1095220,8/28/2023,19.7,114.0,,7.096449195125595
1095220,8/29/2023,20.0,124.0,,6.535333985752533
1095220,8/30/2023,20.3,128.0,,7.491360366927579
1095220,8/31/2023,19.6,117.0,,7.113624714576601
1095220,9/1/2023,18.3,126.0,,6.988156842618782
1095220,9/2/2023,17.7,133.0,,6.745370117504143
1095220,9/3/2023,18.7,140.0,,6.835417628257343
1095220,9/4/2023,19.7,147.0,,6.791685432984355
1095220,9/5/2023,20.6,155.0,,6.760443084048963
1095220,9/6/2023,21.3,161.0,,7.143787581721246
1095220,9/7/2023,21.8,167.0,,6.890522383288261
1095220,9/8/2023,21.3,181.0,,7.183541503063043
1095220,9/9/2023,21.3,161.0,,7.0835731289043
1095220,9/10/2023,21.0,167.0,,6.855843098967097
1095220,9/11/2023,20.9,161.0,,6.643148782207618
1095220,9/12/2023,20.3,50.0,,6.966171279007636
1095220,9/13/2023,20.1,63.0,,6.785567347686095
1095220,9/14/2023,19.4,73.0,,6.739151884954755
1095220,9/15/2023,18.0,81.0,,7.3657913000490165
1095220,9/16/2023,16.9,89.0,,7.358570192882565
1095220,9/17/2023,16.5,96.0,,6.857825086510367
1095220,9/18/2023,16.9,104.0,,7.408868949784792
1095220,9/19/2023,16.8,84.0,,6.693491087060066
1095220,9/20/2023,16.6,85.0,,7.139709122633373
1095220,9/21/2023,16.0,93.0,,6.861115042159234
1095220,9/22/2023,15.6,100.0,,6.815790806488075
1095220,9/23/2023,14.9,106.0,,7.3296227915172825
1095220,9/24/2023,14.4,110.0,,7.276054190152821
1095220,9/25/2023,14.3,106.0,,7.435759374233621
1095220,9/26/2023,13.9,93.0,,7.334070840448779
1095220,9/27/2023,13.2,96.0,,6.530544920381879
1095220,9/28/2023,13.3,102.0,,7.163080371431443
1095220,9/29/2023,13.0,106.0,,6.611207274559767
1095220,9/30/2023,12.8,72.0,,6.633871002003064
1095220,10/1/2023,13.5,78.0,,6.953939615158546
1095220,10/2/2023,14.6,88.0,,7.299898245729387
1095220,10/3/2023,14.6,97.0,,6.960856163143159
1095220,10/4/2023,15.6,105.0,,7.076146986284492
1095220,10/5/2023,16.6,110.0,,6.703732581666563
1095220,10/6/2023,16.6,115.0,,6.698188798934688
1095220,10/7/2023,16.7,106.0,,6.715102155636576
1095220,10/8/2023,15.6,101.0,,7.440524084793555
1095220,10/9/2023,13.6,103.0,,6.6252957548612414
1095220,10/10/2023,12.7,110.0,,6.599297941057869
1095220,10/11/2023,12.2,117.0,,6.740011797374216
1095220,10/12/2023,12.6,123.0,,6.575778140724309
1095220,10/13/2023,12.4,127.0,,6.992813277598457
1095220,10/14/2023,11.8,131.0,,6.641665568983367
1095220,10/15/2023,11.4,133.0,,7.493790027969062
1095220,10/16/2023,11.4,130.0,,7.243967027461286
1095220,10/17/2023,11.3,125.0,,6.72570311561431
1095220,10/18/2023,11.4,125.0,,7.265481773205283
1095220,10/19/2023,11.8,121.0,,6.815072877611131
1095220,10/20/2023,12.1,120.0,,6.747190216694539
1095375,4/4/2023,8.7,229.0,,6.882989236775016
1095375,4/5/2023,8.8,221.0,,6.903817576370216
1095375,4/6/2023,9.5,230.0,,7.3695422843851786
1095375,4/7/2023,9.3,240.0,,7.2552098257479996
1095375,4/8/2023,8.3,240.0,,7.390522482884545
1095375,4/9/2023,8.4,243.0,,6.771433955714215
1095375,4/10/2023,9.6,249.0,,7.153683551646594
1095375,4/11/2023,10.8,246.0,,7.275031638723832
1095375,4/12/2023,12.1,231.0,,6.606126554823822
1095375,4/13/2023,13.4,231.0,,6.869298094523709
1095375,4/14/2023,15.4,237.0,,6.871000772976661
1095375,4/15/2023,15.7,237.0,,7.231479915622526
1095375,4/16/2023,14.7,250.0,,6.892524625266927
1095375,4/17/2023,13.6,253.0,,6.503578857790904
1095375,4/18/2023,12.2,251.0,,7.068388866879386
1095375,4/19/2023,10.4,243.0,,7.096202356343643
1095375,4/20/2023,11.2,252.0,,6.696553258265512
1095375,4/21/2023,12.7,257.0,,6.520373182581853
1095375,4/22/2023,11.8,255.0,,7.146696097795839
1095375,4/23/2023,10.6,235.0,,6.616465570553004
1095375,4/24/2023,11.9,206.0,,6.966590103478715
1095375,4/25/2023,12.0,198.0,,7.219904201255656
1095375,4/26/2023,12.3,225.0,,7.235910618665116
1095375,4/27/2023,12.5,277.0,,6.5105305202786985
1095375,4/28/2023,12.8,268.0,,7.249276452259287
1095375,4/29/2023,12.2,264.0,,7.429602736636089
1095375,4/30/2023,11.5,237.0,,6.7239052386900955
1095375,5/1/2023,12.3,181.0,,7.341639239239812
1095375,5/2/2023,12.1,178.0,,7.2629766843957615
1095375,5/3/2023,11.8,186.0,,7.216009296242204
1095375,5/4/2023,11.4,190.0,,6.7473476308342
1095375,5/5/2023,11.9,191.0,,7.442998573523534
1095375,5/6/2023,13.2,196.0,,7.091733057452358
1095375,5/7/2023,14.8,210.0,,6.764653729862086
1095375,5/8/2023,16.0,217.0,,6.901839582861447
1095375,5/9/2023,15.0,216.0,,7.202144703308016
1095375,5/10/2023,15.3,220.0,,7.328152467427445
1095375,5/11/2023,16.2,225.0,,6.62707706692552
1095375,5/12/2023,17.2,227.0,,6.592386600155738
1095375,5/13/2023,18.0,229.0,,6.83857535849177
1095375,5/14/2023,16.6,232.0,,7.084431392898394
1095375,5/15/2023,15.9,238.0,,7.483803515911485
1095375,5/16/2023,16.3,240.0,,6.731841291015801
1095375,5/17/2023,15.3,245.0,,7.177687724057887
1095375,5/18/2023,13.8,254.0,,7.095125407029836
1095375,5/19/2023,14.8,258.0,,6.949102525762528
1095375,5/20/2023,14.6,245.0,,6.927723663358713
1095375,5/21/2023,16.3,209.0,,6.993523355494906
1095375,5/22/2023,16.8,209.0,,7.139770895274116
1095375,5/23/2023,16.8,227.0,,6.79246780853403
1095375,5/24/2023,16.7,231.0,,6.830367144547146
1095375,5/25/2023,16.2,234.0,,6.825081768146717
1095375,5/26/2023,16.0,225.0,,7.141977669439487
1095375,5/27/2023,16.9,224.0,,6.829616393377916
1095375,5/28/2023,18.8,233.0,,7.250793527367826
1095375,5/29/2023,18.5,233.0,,6.587754270083373
1095375,5/30/2023,17.0,243.0,,7.444411691762323
1095375,5/31/2023,17.7,234.0,,6.574873208256569
1095375,6/1/2023,19.4,235.0,,7.470583723700653
1095375,6/2/2023,20.5,254.0,,6.960046615262592
1095375,6/3/2023,17.2,262.0,,6.691930304421014
1095375,6/4/2023,14.5,264.0,,6.711353996385143
1095375,6/5/2023,14.6,265.0,,6.82386386416889
1095375,6/6/2023,15.7,265.0,,7.215588967907055
1095375,6/7/2023,15.1,263.0,,6.9196370058088075
1095375,6/8/2023,14.5,266.0,,7.22667498574614
1095375,6/9/2023,14.4,273.0,,6.531094057807823
1095375,6/10/2023,15.0,311.0,,7.124635302140948
1095375,6/11/2023,16.6,334.0,,7.480172460237599
1095375,6/12/2023,18.6,386.0,,6.96953628189705
1095375,6/13/2023,20.3,420.0,,6.714636386096812
1095375,6/14/2023,20.0,389.0,,7.470452393227969
1095375,6/15/2023,19.3,381.0,,6.820342356402998
1095375,6/16/2023,19.9,381.0,,6.579066061489862
1095375,6/17/2023,18.3,349.0,,7.427109486482102
1095375,6/18/2023,17.6,320.0,,7.062027530519723
1095375,6/19/2023,17.6,341.0,,6.924181563751843
1095375,6/20/2023,18.1,350.0,,7.465581759012507
1095375,6/21/2023,18.3,356.0,,7.096089008556552
1095375,6/22/2023,18.6,363.0,,6.5566476276399195
1095375,6/23/2023,19.6,363.0,,6.672658508356921
1095375,6/24/2023,20.1,352.0,,6.828175833511701
1095375,6/25/2023,21.7,342.0,,6.810434916397088
1095375,6/26/2023,21.5,330.0,,7.045166415536907
1095375,6/27/2023,21.0,305.0,,7.476625134500433
1095375,6/28/2023,20.5,278.0,,7.3963920364538005
1095375,6/29/2023,22.7,185.0,,6.967074753105662
1095375,6/30/2023,23.3,197.0,,6.846209899859031
1095375,7/1/2023,23.2,224.0,,6.541847405072771
1095375,7/2/2023,21.2,210.0,,7.054667976542211
1095375,7/3/2023,21.8,157.0,,7.38755023324524
1095375,7/4/2023,22.1,171.0,,7.424943330033041
1095375,7/5/2023,23.4,173.0,,6.903864604245785
1095375,7/6/2023,24.7,180.0,,6.589297753393218
1095375,7/7/2023,24.5,186.0,,6.500893399514904
1095375,7/8/2023,25.1,197.0,,7.02980015292851
1095375,7/9/2023,24.8,210.0,,7.16332084820177
1095375,7/10/2023,22.6,187.0,,7.345312542863387
1095375,7/11/2023,22.9,161.0,,7.318821155075342
1095375,7/12/2023,23.9,174.0,,7.498620398316853
1095375,7/13/2023,24.0,184.0,,7.209830599359094
1095375,7/14/2023,22.8,169.0,,7.364054011289985
1095375,7/15/2023,24.1,171.0,,7.473965696719705
1095375,7/16/2023,23.6,152.0,,7.291845781343733
1095375,7/17/2023,24.0,140.0,,7.195485003501949
1095375,7/18/2023,24.0,155.0,,6.79308643742686
1095375,7/19/2023,24.2,157.0,,6.536970113100584
1095375,7/20/2023,23.8,166.0,,6.981061363325811
1095375,7/21/2023,22.9,176.0,,7.008474157443809
1095375,7/22/2023,23.1,144.0,,6.993485073163988
1095375,7/23/2023,23.4,151.0,,7.313260956125113
1095375,7/24/2023,23.3,167.0,,6.622037925880454
1095375,7/25/2023,22.8,179.0,,7.297569382233186
1095375,7/26/2023,23.0,186.0,,7.383241774864453
1095375,7/27/2023,,,,6.64865480227407
1095375,7/28/2023,,,,6.652407705497768
1095375,7/29/2023,24.0,182.0,,6.902303637921233
1095375,7/30/2023,22.7,163.0,,6.667470687088902
1095375,7/31/2023,22.3,164.0,,6.798821075098081
1095375,8/1/2023,21.6,175.0,,6.552621697711222
1095375,8/2/2023,20.4,187.0,,6.5740170667712485
1095375,8/3/2023,20.6,197.0,,7.324471161122896
1095375,8/4/2023,20.4,205.0,,7.499847250062172
1095375,8/5/2023,21.0,206.0,,6.746357213738228
1095375,8/6/2023,21.0,206.0,,6.708582932377531
1095375,8/7/2023,20.5,211.0,,7.398349887636971
1095375,8/8/2023,21.4,214.0,,7.320645465357933
1095375,8/9/2023,21.5,206.0,,7.352259867812324
1095375,8/10/2023,21.0,213.0,,6.744921254934901
1095375,8/11/2023,20.9,224.0,,6.753268717608588
1095375,8/12/2023,20.8,232.0,,6.644969912734767
1095375,8/13/2023,22.1,245.0,,6.575609132296882
1095375,8/14/2023,21.8,261.0,,7.330793165072908
1095375,8/15/2023,20.4,248.0,,7.215664938267242
1095375,8/16/2023,20.1,233.0,,7.240772330202864
1095375,8/17/2023,20.3,234.0,,6.642790690894814
1095375,8/18/2023,20.3,224.0,,7.128341882588737
1095375,8/19/2023,19.8,218.0,,7.3803213946404504
1095375,8/20/2023,19.9,224.0,,6.640290340035443
1095375,8/21/2023,20.5,244.0,,6.7358669329553535
1095375,8/22/2023,20.1,263.0,,6.59599941633335
1095375,8/23/2023,19.0,273.0,,6.82245286541056
1095375,8/24/2023,18.7,284.0,,7.018341595930085
1095375,8/25/2023,18.5,238.0,,6.734658870231903
1095375,8/26/2023,20.6,191.0,,7.319845750587675
1095375,8/27/2023,20.8,192.0,,6.911753997063627
1095375,8/28/2023,20.5,208.0,,7.138883923262823
1095375,8/29/2023,20.7,227.0,,7.481849482397275
1095375,8/30/2023,20.9,244.0,,7.2052828389234485
1095375,8/31/2023,19.6,236.0,,7.369199291246343
1095375,9/1/2023,18.1,248.0,,7.346233147177809
1095375,9/2/2023,18.3,261.0,,6.585012128496993
1095375,9/3/2023,19.8,266.0,,6.943510553515071
1095375,9/4/2023,20.4,276.0,,6.653526629984477
1095375,9/5/2023,21.0,293.0,,6.5216183176204305
1095375,9/6/2023,21.6,309.0,,7.116882446240159
1095375,9/7/2023,22.3,325.0,,7.328071086407908
1095375,9/8/2023,21.7,333.0,,6.888660413294596
1095375,9/9/2023,21.6,322.0,,6.962613649207694
1095375,9/10/2023,21.3,312.0,,7.059511749701701
1095375,9/11/2023,21.0,289.0,,7.499620767740577
1095375,9/12/2023,22.2,200.0,,6.6786477829396835
1095375,9/13/2023,22.3,189.0,,7.480852879027525
1095375,9/14/2023,21.5,187.0,,6.531302336214471
1095375,9/15/2023,19.8,201.0,,7.228947078257321
1095375,9/16/2023,18.4,219.0,,7.019382389992615
1095375,9/17/2023,17.6,240.0,,6.8112749233025145
1095375,9/18/2023,17.6,238.0,,6.768852813035447
1095375,9/19/2023,17.7,193.0,,7.131973006287446
1095375,9/20/2023,17.7,188.0,,7.463227043394787
1095375,9/21/2023,17.1,203.0,,6.677600375761454
1095375,9/22/2023,16.5,220.0,,7.2534811844489
1095375,9/23/2023,15.2,239.0,,7.2549476163239595
1095375,9/24/2023,14.9,250.0,,7.138602033188127
1095375,9/25/2023,14.7,225.0,,7.3023914096176945
1095375,9/26/2023,15.1,179.0,,7.2622102429880195
1095375,9/27/2023,14.7,175.0,,6.775367307928895
1095375,9/28/2023,14.9,181.0,,7.346704918031013
1095375,9/29/2023,14.0,168.0,,6.825598642445735
1095375,9/30/2023,14.8,141.0,,7.082147724574947
1095375,10/1/2023,15.1,150.0,,6.945810812675089
1095375,10/2/2023,15.8,160.0,,7.452509779520571
1095375,10/3/2023,16.0,169.0,,7.026234391702238
1095375,10/4/2023,17.2,172.0,,7.37764001061365
1095375,10/5/2023,17.5,174.0,,6.62647842619516
1095375,10/6/2023,17.1,180.0,,7.202824554922661
1095375,10/7/2023,17.3,178.0,,6.749230159583568
1095375,10/8/2023,15.9,162.0,,6.78848570101404
1095375,10/9/2023,14.6,150.0,,7.1126720713233755
1095375,10/10/2023,14.1,159.0,,7.133548071138441
1095375,10/11/2023,13.9,173.0,,7.060224418206775
1095375,10/12/2023,14.0,180.0,,7.169787450695536
1095375,10/13/2023,13.3,188.0,,6.917151612044414
1095375,10/14/2023,12.7,192.0,,6.827407431418887
1095375,10/15/2023,12.6,195.0,,7.37622052794849
1095375,10/16/2023,12.4,199.0,,6.938158493368681
1095375,10/17/2023,12.3,202.0,,6.591343548708777
1095375,10/18/2023,12.6,208.0,,7.477905317390473
1095375,10/19/2023,12.9,213.0,,7.117484060436359
1095375,10/20/2023,12.9,218.0,,7.29078819010867
1095434,4/4/2023,9.5,1040.0,,6.794333476917997
1095434,4/5/2023,8.4,1050.0,,7.245995202647402
1095434,4/6/2023,9.6,1040.0,,6.503708978381406
1095434,4/7/2023,9.0,1050.0,,6.642312841877223
1095434,4/8/2023,7.6,1050.0,,7.369825127365322
1095434,4/9/2023,7.6,1050.0,,6.59950068681435
1095434,4/10/2023,8.8,1040.0,,6.607640971032363
1095434,4/11/2023,10.3,1040.0,,7.178338232698201
1095434,4/12/2023,11.8,1040.0,,6.847209206316777
1095434,4/13/2023,13.1,1030.0,,6.510453197980813
1095434,4/14/2023,14.6,1020.0,,7.167567737990954
1095434,4/15/2023,13.5,1020.0,,6.945109753977135
1095434,4/16/2023,12.5,1020.0,,6.526022647233468
1095434,4/17/2023,11.3,1010.0,,6.804875759213448
1095434,4/18/2023,10.1,1010.0,,6.802653339787652
1095434,4/19/2023,8.8,1020.0,,7.073983095397786
1095434,4/20/2023,10.0,1020.0,,7.20295524855339
1095434,4/21/2023,11.4,1020.0,,7.263319676057938
1095434,4/22/2023,10.4,1010.0,,6.523555361627342
1095434,4/23/2023,9.7,592.0,,7.061315890193149
1095434,4/24/2023,10.7,860.0,,6.9642527821125215
1095434,4/25/2023,10.0,941.0,,7.15495531612738
1095434,4/26/2023,10.9,963.0,,7.404200991658598
1095434,4/27/2023,10.5,972.0,,6.740793611554182
1095434,4/28/2023,10.8,977.0,,6.790590266682072
1095434,4/29/2023,10.1,960.0,,6.794896147006781
1095434,4/30/2023,10.0,644.0,,6.70573953263011
1095434,5/1/2023,11.8,588.0,,7.366525616551529
1095434,5/2/2023,10.6,675.0,,6.61332600205333
1095434,5/3/2023,10.1,746.0,,7.188378256140983
1095434,5/4/2023,9.7,723.0,,7.32825883575296
1095434,5/5/2023,10.6,816.0,,7.141541663371758
1095434,5/6/2023,12.1,848.0,,6.972142756311962
1095434,5/7/2023,13.0,871.0,,7.29598336525972
1095434,5/8/2023,13.5,888.0,,7.00563825806041
1095434,5/9/2023,11.7,905.0,,7.330934964258552
1095434,5/10/2023,11.8,917.0,,7.393394599201088
1095434,5/11/2023,12.9,925.0,,7.251121292953769
1095434,5/12/2023,14.0,939.0,,7.385685761046111
1095434,5/13/2023,14.4,999.0,,7.310959762899015
1095434,5/14/2023,12.3,980.0,,7.027034686306028
1095434,5/15/2023,12.0,976.0,,6.7188041639624085
1095434,5/16/2023,12.9,976.0,,7.492983378276372
1095434,5/17/2023,11.6,980.0,,6.780148595568424
1095434,5/18/2023,10.3,978.0,,6.713652297826866
1095434,5/19/2023,11.6,978.0,,7.211347035925851
1095434,5/20/2023,13.1,751.0,,7.346761576975073
1095434,5/21/2023,14.4,767.0,,7.155221875786958
1095434,5/22/2023,13.3,888.0,,6.714007412822787
1095434,5/23/2023,12.7,918.0,,6.763032215776419
1095434,5/24/2023,13.1,890.0,,7.408164928100005
1095434,5/25/2023,12.5,920.0,,6.779411619156169
1095434,5/26/2023,12.2,952.0,,7.10912014351684
1095434,5/27/2023,12.9,959.0,,6.515486101724802
1095434,5/28/2023,14.4,964.0,,7.427167370801906
1095434,5/29/2023,14.0,976.0,,7.373829045523884
1095434,5/30/2023,12.7,981.0,,7.432786980485188
1095434,5/31/2023,13.4,984.0,,7.0706845051072325
1095434,6/1/2023,14.7,986.0,,7.3125572607659555
1095434,6/2/2023,15.4,987.0,,6.9465059872245485
1095434,6/3/2023,12.8,963.0,,6.528831639303504
1095434,6/4/2023,11.3,982.0,,6.7342162425701275
1095434,6/5/2023,11.9,983.0,,7.034563945262367
1095434,6/6/2023,13.0,991.0,,6.911507719556024
1095434,6/7/2023,12.4,996.0,,6.726680027019151
1095434,6/8/2023,12.2,990.0,,6.809177017597036
1095434,6/9/2023,12.3,952.0,,6.9429898862499435
1095434,6/10/2023,12.7,959.0,,6.906303928379927
1095434,6/11/2023,13.8,973.0,,6.806007064445069
1095434,6/12/2023,14.8,996.0,,6.822880077242817
1095434,6/13/2023,15.1,991.0,,7.099383974673548
1095434,6/14/2023,15.2,903.0,,7.040178931274246
1095434,6/15/2023,15.0,888.0,,6.842313946448841
1095434,6/16/2023,15.1,1000.0,,6.607437518879929
1095434,6/17/2023,15.3,712.0,,6.517420474432809
1095434,6/18/2023,15.1,870.0,,7.208287517689647
1095434,6/19/2023,14.2,976.0,,6.875195013144699
1095434,6/20/2023,14.6,996.0,,7.350067800249155
1095434,6/21/2023,14.4,1000.0,,6.78203166935291
1095434,6/22/2023,14.5,1010.0,,6.855010635633519
1095434,6/23/2023,15.1,1010.0,,6.65523619430932
1095434,6/24/2023,16.2,907.0,,6.985290737028679
1095434,6/25/2023,17.2,969.0,,7.362660214871413
1095434,6/26/2023,17.4,887.0,,7.012426416082068
1095434,6/27/2023,17.7,836.0,,6.581144151298314
1095434,6/28/2023,17.5,829.0,,6.81985368008054
1095434,6/29/2023,17.5,900.0,,7.064721083599604
1095434,6/30/2023,16.6,1010.0,,6.938606279704559
1095434,7/1/2023,17.0,1030.0,,7.335823068843401
1095434,7/2/2023,17.9,,,6.911985851571801
1095434,7/3/2023,18.3,,,7.402797973035732
1095434,7/4/2023,18.3,,,7.00100974327294
1095434,7/5/2023,18.3,,,7.492242486823288
1095434,7/6/2023,18.3,,,6.91975447845961
1095434,7/7/2023,18.4,,,6.761662776497503
