agency_cd,site_no,datetime,Mean Specific Conductance ,Mean Specific Conductance _cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,,,
USGS,1104420,6/30/2023,1270,P,21.2,P,,,,,,,,,,,,,,
USGS,1104420,7/1/2023,1510,P,19.2,P,,,,,,,,,,,,,,
USGS,1104420,7/2/2023,1090,P,19.7,P,,,,,,,,,,,,,,
USGS,1104420,7/3/2023,683,P,20.9,P,,,,,,,,,,,,,,
USGS,1104420,7/4/2023,613,P,21.3,P,,,,,,,,,,,,,,
USGS,1104420,7/5/2023,738,P,23,P,,,,,,,,,,,,,,
USGS,1104420,7/6/2023,866,P,24.5,P,,,,,,,,,,,,,,
USGS,1104420,7/7/2023,978,P,24.1,P,,,,,,,,,,,,,,
USGS,1104420,7/8/2023,1400,P,20.3,P,,,,,,,,,,,,,,
USGS,1104420,7/9/2023,1720,P,18.2,P,,,,,,,,,,,,,,
USGS,1104420,7/10/2023,882,P,20.4,P,,,,,,,,,,,,,,
USGS,1104420,7/11/2023,879,P,22.6,P,,,,,,,,,,,,,,
USGS,1104420,7/12/2023,903,P,23.7,P,,,,,,,,,,,,,,
USGS,1104420,7/13/2023,963,P,23.6,P,,,,,,,,,,,,,,
USGS,1104420,7/14/2023,871,P,22.3,P,,,,,,,,,,,,,,
USGS,1104420,7/15/2023,1220,P,21.4,P,,,,,,,,,,,,,,
USGS,1104420,7/16/2023,656,P,23.3,P,,,,,,,,,,,,,,
USGS,1104420,7/17/2023,674,P,24.5,P,,,,,,,,,,,,,,
USGS,1104420,7/18/2023,716,P,24.4,P,,,,,,,,,,,,,,
USGS,1104420,7/19/2023,794,P,23.6,P,,,,,,,,,,,,,,
USGS,1104420,7/20/2023,946,P,22,P,,,,,,,,,,,,,,
USGS,1104420,7/21/2023,974,P,20.7,P,,,,,,,,,,,,,,
USGS,1104420,7/22/2023,732,P,21.9,P,,,,,,,,,,,,,,
USGS,1104420,7/23/2023,905,P,22.2,P,,,,,,,,,,,,,,
USGS,1104420,7/24/2023,969,P,22,P,,,,,,,,,,,,,,
USGS,1104420,7/25/2023,911,P,21.7,P,,,,,,,,,,,,,,
USGS,1104420,7/26/2023,1100,P,20.7,P,,,,,,,,,,,,,,
USGS,1104420,7/27/2023,1060,P,21.8,P,,,,,,,,,,,,,,
USGS,1104420,7/28/2023,1350,P,20.5,P,,,,,,,,,,,,,,
USGS,1104420,7/29/2023,1090,P,21.7,P,,,,,,,,,,,,,,
USGS,1104420,7/30/2023,742,P,21.8,P,,,,,,,,,,,,,,
USGS,1104420,7/31/2023,760,P,20.9,P,,,,,,,,,,,,,,
USGS,1104420,8/1/2023,834,P,20.5,P,,,,,,,,,,,,,,
USGS,1104420,8/2/2023,886,P,19.4,P,,,,,,,,,,,,,,
USGS,1104420,8/3/2023,963,P,19.7,P,,,,,,,,,,,,,,
USGS,1104420,8/4/2023,1040,P,19.8,P,,,,,,,,,,,,,,
USGS,1104420,8/5/2023,1350,P,19.4,P,,,,,,,,,,,,,,
USGS,1104420,8/6/2023,1500,P,18.6,P,,,,,,,,,,,,,,
USGS,1104420,8/7/2023,1740,P,18.3,P,,,,,,,,,,,,,,
USGS,1104420,8/8/2023,546,P,22.1,P,,,,,,,,,,,,,,
USGS,1104420,8/9/2023,382,P,22.5,P,,,,,,,,,,,,,,
USGS,1104420,8/10/2023,502,P,21.6,P,,,,,,,,,,,,,,
USGS,1104420,8/11/2023,514,P,21.7,P,,,,,,,,,,,,,,
USGS,1104420,8/12/2023,684,P,21,P,,,,,,,,,,,,,,
USGS,1104420,8/13/2023,704,P,22.5,P,,,,,,,,,,,,,,
USGS,1104420,8/14/2023,739,P,22,P,,,,,,,,,,,,,,
USGS,1104420,8/15/2023,573,P,21.4,P,,,,,,,,,,,,,,
USGS,1104420,8/16/2023,776,P,20.4,P,,,,,,,,,,,,,,
USGS,1104420,8/17/2023,814,P,20,P,,,,,,,,,,,,,,
USGS,1104420,8/18/2023,624,P,21,P,,,,,,,,,,,,,,
USGS,1104420,8/19/2023,628,P,19.5,P,,,,,,,,,,,,,,
USGS,1104420,8/20/2023,680,P,19.8,P,,,,,,,,,,,,,,
USGS,1104420,8/21/2023,687,P,20.8,P,,,,,,,,,,,,,,
USGS,1104420,8/22/2023,690,P,20.7,P,,,,,,,,,,,,,,
USGS,1104420,8/23/2023,845,P,19.2,P,,,,,,,,,,,,,,
USGS,1104420,8/24/2023,907,P,18.9,P,,,,,,,,,,,,,,
USGS,1104420,8/25/2023,451,P,18.8,P,,,,,,,,,,,,,,
USGS,1104420,8/26/2023,474,P,20.4,P,,,,,,,,,,,,,,
USGS,1104420,8/27/2023,605,P,20.6,P,,,,,,,,,,,,,,
USGS,1104420,8/28/2023,709,P,19.9,P,,,,,,,,,,,,,,
USGS,1104420,8/29/2023,782,P,20.1,P,,,,,,,,,,,,,,
USGS,1104420,8/30/2023,656,P,21,P,,,,,,,,,,,,,,
USGS,1104420,8/31/2023,845,P,19.4,P,,,,,,,,,,,,,,
USGS,1104420,9/1/2023,854,P,17.8,P,,,,,,,,,,,,,,
USGS,1104420,9/2/2023,883,P,18.1,P,,,,,,,,,,,,,,
USGS,1104420,9/3/2023,914,P,19.8,P,,,,,,,,,,,,,,
USGS,1104420,9/4/2023,949,P,20.6,P,,,,,,,,,,,,,,
USGS,1104420,9/5/2023,985,P,21.2,P,,,,,,,,,,,,,,
USGS,1104420,9/6/2023,1020,P,22.1,P,,,,,,,,,,,,,,
USGS,1104420,9/7/2023,1050,P,22.8,P,,,,,,,,,,,,,,
USGS,1104420,9/8/2023,990,P,22.3,P,,,,,,,,,,,,,,
USGS,1104420,9/9/2023,1030,P,22,P,,,,,,,,,,,,,,
USGS,1104420,9/10/2023,844,P,21.7,P,,,,,,,,,,,,,,
USGS,1104420,9/11/2023,851,P,21.6,P,,,,,,,,,,,,,,
USGS,1104420,9/12/2023,767,P,21.6,P,,,,,,,,,,,,,,
USGS,1104420,9/13/2023,677,P,21.1,P,,,,,,,,,,,,,,
USGS,1104420,9/14/2023,719,P,20.4,P,,,,,,,,,,,,,,
USGS,1104420,9/15/2023,765,P,18.2,P,,,,,,,,,,,,,,
USGS,1104420,9/16/2023,805,P,17.3,P,,,,,,,,,,,,,,
USGS,1104420,9/17/2023,853,P,17.3,P,,,,,,,,,,,,,,
USGS,1104420,9/18/2023,545,P,18.1,P,,,,,,,,,,,,,,
USGS,1104420,9/19/2023,342,P,18.1,P,,,,,,,,,,,,,,
USGS,1104420,9/20/2023,447,P,17.5,P,,,,,,,,,,,,,,
USGS,1104420,9/21/2023,602,P,16.6,P,,,,,,,,,,,,,,
USGS,1104420,9/22/2023,717,P,16,P,,,,,,,,,,,,,,
USGS,1104420,9/23/2023,802,P,15,P,,,,,,,,,,,,,,
USGS,1104420,9/24/2023,822,P,15.7,P,,,,,,,,,,,,,,
USGS,1104420,9/25/2023,853,P,15.7,P,,,,,,,,,,,,,,
USGS,1104420,9/26/2023,902,P,14.9,P,,,,,,,,,,,,,,
USGS,1104420,9/27/2023,947,P,13.5,P,,,,,,,,,,,,,,
USGS,1104420,9/28/2023,972,P,13.8,P,,,,,,,,,,,,,,
USGS,1104420,9/29/2023,815,P,13.8,P,,,,,,,,,,,,,,
USGS,1104420,9/30/2023,810,P,14,P,,,,,,,,,,,,,,
USGS,1104420,10/1/2023,777,P,14.2,P,,,,,,,,,,,,,,
USGS,1104420,10/2/2023,827,P,15,P,,,,,,,,,,,,,,
USGS,1104420,10/3/2023,894,P,14.8,P,,,,,,,,,,,,,,
USGS,1104420,10/4/2023,930,P,16.2,P,,,,,,,,,,,,,,
USGS,1104420,10/5/2023,968,P,17,P,,,,,,,,,,,,,,
USGS,1104420,10/6/2023,1000,P,17.5,P,,,,,,,,,,,,,,
USGS,1104420,10/7/2023,963,P,17.8,P,,,,,,,,,,,,,,
USGS,1104420,10/8/2023,969,P,15.7,P,,,,,,,,,,,,,,
USGS,1104420,10/9/2023,1050,P,13.7,P,,,,,,,,,,,,,,
USGS,1104420,10/10/2023,1050,P,12.9,P,,,,,,,,,,,,,,
USGS,1104420,10/11/2023,1070,P,13,P,,,,,,,,,,,,,,
USGS,1104420,10/12/2023,1090,P,13.6,P,,,,,,,,,,,,,,
USGS,1104420,10/13/2023,1120,P,12.8,P,,,,,,,,,,,,,,
USGS,1104420,10/14/2023,1130,P,12.2,P,,,,,,,,,,,,,,
USGS,1104420,10/15/2023,1140,P,12.1,P,,,,,,,,,,,,,,
USGS,1104420,10/16/2023,1130,P,12,P,,,,,,,,,,,,,,
USGS,1104420,10/17/2023,1140,P,11.9,P,,,,,,,,,,,,,,
USGS,1104420,10/18/2023,1160,P,12.2,P,,,,,,,,,,,,,,
USGS,1104420,10/19/2023,1170,P,12.9,P,,,,,,,,,,,,,,
USGS,1104420,10/20/2023,1170,P,12.8,P,,,,,,,,,,,,,,
