agency_cd,site_no,datetime,64209_00010_00001,64209_00010_00001_cd,64210_00010_00002,64210_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64212_00095_00001,64212_00095_00001_cd,64213_00095_00002,64213_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,
USGS,1104475,5/8/2023,17.4,P,14.5,P,15.7,P,326,P,316,P,320,P,,,,,,
USGS,1104475,5/9/2023,15.5,P,12.9,P,14.2,P,328,P,320,P,323,P,,,,,,
USGS,1104475,5/10/2023,15.7,P,12,P,14,P,334,P,326,P,328,P,,,,,,
USGS,1104475,5/11/2023,16.8,P,13.3,P,15.2,P,368,P,331,P,336,P,,,,,,
USGS,1104475,5/12/2023,17.6,P,14.3,P,16,P,348,P,334,P,337,P,,,,,,
USGS,1104475,5/13/2023,17.5,P,15.3,P,16.3,P,393,P,344,P,352,P,,,,,,
USGS,1104475,5/14/2023,15.4,P,13.8,P,14.7,P,355,P,350,P,352,P,,,,,,
USGS,1104475,5/15/2023,15.1,P,12.8,P,13.9,P,367,P,352,P,357,P,,,,,,
USGS,1104475,5/16/2023,16,P,13.8,P,14.8,P,357,P,345,P,352,P,,,,,,
USGS,1104475,5/17/2023,15.3,P,11.9,P,13.6,P,360,P,351,P,356,P,,,,,,
USGS,1104475,5/18/2023,13.4,P,10.8,P,12.2,P,365,P,359,P,362,P,,,,,,
USGS,1104475,5/19/2023,14.1,P,11.3,P,12.8,P,367,P,362,P,364,P,,,,,,
USGS,1104475,5/20/2023,16.3,P,12.5,P,14.1,P,369,P,150,P,315,P,,,,,,
USGS,1104475,5/21/2023,18.8,P,15.8,P,17,P,315,P,101,P,238,P,,,,,,
USGS,1104475,5/22/2023,17.3,P,15,P,16.1,P,283,P,263,P,273,P,,,,,,
USGS,1104475,5/23/2023,16.4,P,13.8,P,15.1,P,292,P,283,P,287,P,,,,,,
USGS,1104475,5/24/2023,16.4,P,13.4,P,14.9,P,304,P,206,P,295,P,,,,,,
USGS,1104475,5/25/2023,15.9,P,14,P,14.9,P,329,P,261,P,301,P,,,,,,
USGS,1104475,5/26/2023,15.4,P,13.2,P,14.4,P,315,P,293,P,306,P,,,,,,
USGS,1104475,5/27/2023,16.2,P,13.2,P,14.9,P,332,P,292,P,317,P,,,,,,
USGS,1104475,5/28/2023,17.6,P,14.4,P,16.2,P,343,P,330,P,333,P,,,,,,
USGS,1104475,5/29/2023,16.7,P,14.1,P,15.9,P,348,P,316,P,339,P,,,,,,
USGS,1104475,5/30/2023,15.8,P,13,P,14.5,P,363,P,343,P,349,P,,,,,,
USGS,1104475,5/31/2023,16,P,13.1,P,14.7,P,370,P,352,P,355,P,,,,,,
USGS,1104475,6/1/2023,17.1,P,14.2,P,15.7,P,377,P,247,P,357,P,,,,,,
USGS,1104475,6/2/2023,17.8,P,15.4,P,16.5,P,362,P,299,P,350,P,,,,,,
USGS,1104475,6/3/2023,17.4,P,13.7,P,15.5,P,341,P,268,P,336,P,,,,,,
USGS,1104475,6/4/2023,13.7,P,13.1,P,13.3,P,341,P,326,P,338,P,,,,,,
USGS,1104475,6/5/2023,14.4,P,13.1,P,13.7,P,337,P,288,P,331,P,,,,,,
USGS,1104475,6/6/2023,15.5,P,13.6,P,14.6,P,349,P,315,P,335,P,,,,,,
USGS,1104475,6/7/2023,14.8,P,14.1,P,14.5,P,343,P,332,P,339,P,,,,,,
USGS,1104475,6/8/2023,14.8,P,13.6,P,14.2,P,345,P,339,P,343,P,,,,,,
USGS,1104475,6/9/2023,14.8,P,13.1,P,14.1,P,346,P,312,P,339,P,,,,,,
USGS,1104475,6/10/2023,15,P,13.5,P,14.1,P,353,P,302,P,343,P,,,,,,
USGS,1104475,6/11/2023,16,P,13.4,P,14.9,P,354,P,331,P,349,P,,,,,,
USGS,1104475,6/12/2023,18.1,P,14.8,P,16.1,P,355,P,264,P,346,P,,,,,,
USGS,1104475,6/13/2023,18.2,P,16.8,P,17.5,P,346,P,300,P,341,P,,,,,,
USGS,1104475,6/14/2023,19.9,P,16.7,P,17.5,P,525,P,121,P,330,P,,,,,,
USGS,1104475,6/15/2023,18.8,P,17.5,P,18.2,P,336,P,320,P,329,P,,,,,,
USGS,1104475,6/16/2023,18.8,P,17.3,P,18.2,P,342,P,336,P,339,P,,,,,,
USGS,1104475,6/17/2023,18.1,P,16.8,P,17.4,P,344,P,189,P,312,P,,,,,,
USGS,1104475,6/18/2023,18.6,P,16.9,P,17.7,P,509,P,291,P,306,P,,,,,,
USGS,1104475,6/19/2023,17.6,P,16.6,P,17.2,P,329,P,317,P,323,P,,,,,,
USGS,1104475,6/20/2023,17,P,15.8,P,16.5,P,349,P,327,P,333,P,,,,,,
USGS,1104475,6/21/2023,17.3,P,15.4,P,16.5,P,340,P,335,P,337,P,,,,,,
USGS,1104475,6/22/2023,17.1,P,15.6,P,16.2,P,392,P,340,P,353,P,,,,,,
USGS,1104475,6/23/2023,17.1,P,15.3,P,16.2,P,371,P,364,P,367,P,,,,,,
USGS,1104475,6/24/2023,18.6,P,16.7,P,17.7,P,365,P,344,P,354,P,,,,,,
USGS,1104475,6/25/2023,23.2,P,18.1,P,19.5,P,350,P,186,P,328,P,,,,,,
USGS,1104475,6/26/2023,21.9,P,19.7,P,20.9,P,334,P,298,P,322,P,,,,,,
USGS,1104475,6/27/2023,21,P,19.6,P,20.2,P,342,P,309,P,332,P,,,,,,
USGS,1104475,6/28/2023,20.6,P,18.5,P,19.3,P,351,P,230,P,334,P,,,,,,
USGS,1104475,6/29/2023,19.8,P,18.1,P,18.8,P,353,P,334,P,349,P,,,,,,
USGS,1104475,6/30/2023,19,P,17.4,P,18.1,P,359,P,353,P,356,P,,,,,,
USGS,1104475,7/1/2023,19.2,P,17.6,P,18.3,P,354,P,347,P,351,P,,,,,,
USGS,1104475,7/2/2023,20.9,P,17.8,P,18.9,P,349,P,105,P,300,P,,,,,,
USGS,1104475,7/3/2023,21.6,P,19.5,P,20.7,P,297,P,72,P,252,P,,,,,,
USGS,1104475,7/4/2023,20.8,P,20.2,P,20.5,P,284,P,212,P,267,P,,,,,,
USGS,1104475,7/5/2023,22.2,P,19.1,P,20.4,P,363,P,250,P,299,P,,,,,,
USGS,1104475,7/6/2023,24.7,P,20.5,P,22.1,P,319,P,269,P,297,P,,,,,,
USGS,1104475,7/7/2023,22.5,P,20.8,P,21.7,P,314,P,305,P,310,P,,,,,,
USGS,1104475,7/8/2023,22.4,P,20.9,P,21.7,P,317,P,314,P,315,P,,,,,,
USGS,1104475,7/9/2023,22,P,21.1,P,21.5,P,322,P,315,P,318,P,,,,,,
USGS,1104475,7/10/2023,21.6,P,20.4,P,20.9,P,323,P,155,P,274,P,,,,,,
USGS,1104475,7/11/2023,22.7,P,20.2,P,21.4,P,296,P,266,P,283,P,,,,,,
USGS,1104475,7/12/2023,22.5,P,20.6,P,21.6,P,311,P,296,P,305,P,,,,,,
USGS,1104475,7/13/2023,21.9,P,19,P,20.8,P,364,P,305,P,330,P,,,,,,
USGS,1104475,7/14/2023,22.8,P,18.8,P,20.6,P,358,P,256,P,307,P,,,,,,
USGS,1104475,7/15/2023,22.4,P,20.7,P,21.5,P,321,P,311,P,316,P,,,,,,
USGS,1104475,7/16/2023,23.4,P,21.4,P,22.3,P,323,P,118,P,259,P,,,,,,
USGS,1104475,7/17/2023,24.1,P,22.2,P,23.1,P,279,P,247,P,263,P,,,,,,
USGS,1104475,7/18/2023,23,P,21.8,P,22.4,P,300,P,279,P,290,P,,,,,,
USGS,1104475,7/19/2023,21.9,P,20.8,P,21.3,P,314,P,300,P,308,P,,,,,,
USGS,1104475,7/20/2023,21.5,P,19.8,P,20.7,P,318,P,313,P,315,P,,,,,,
USGS,1104475,7/21/2023,21.2,P,19.8,P,20.4,P,320,P,72,P,286,P,,,,,,
USGS,1104475,7/22/2023,23.2,P,20.9,P,21.8,P,248,P,203,P,230,P,,,,,,
USGS,1104475,7/23/2023,22.5,P,20.2,P,21.3,P,266,P,245,P,256,P,,,,,,
USGS,1104475,7/24/2023,21.9,P,20.1,P,21,P,278,P,266,P,272,P,,,,,,
USGS,1104475,7/25/2023,23.7,P,20.3,P,21.2,P,282,P,140,P,258,P,,,,,,
USGS,1104475,7/26/2023,22.7,P,20.2,P,21.4,P,273,P,178,P,261,P,,,,,,
USGS,1104475,7/27/2023,22.5,P,20.8,P,21.6,P,305,P,273,P,282,P,,,,,,
USGS,1104475,7/28/2023,22.7,P,21,P,21.8,P,304,P,290,P,297,P,,,,,,
USGS,1104475,7/29/2023,24.8,P,21.4,P,22.3,P,305,P,86,P,261,P,,,,,,
USGS,1104475,7/30/2023,22.6,P,20.3,P,21.5,P,261,P,223,P,242,P,,,,,,
USGS,1104475,7/31/2023,21.2,P,19,P,20.1,P,280,P,261,P,272,P,,,,,,
USGS,1104475,8/1/2023,20.3,P,18.8,P,19.5,P,291,P,280,P,285,P,,,,,,
USGS,1104475,8/2/2023,19.6,P,17.5,P,18.6,P,301,P,291,P,294,P,,,,,,
USGS,1104475,8/3/2023,19.7,P,17.6,P,18.7,P,306,P,298,P,300,P,,,,,,
USGS,1104475,8/4/2023,19.3,P,18.3,P,18.8,P,319,P,306,P,312,P,,,,,,
USGS,1104475,8/5/2023,20.2,P,18.5,P,19.3,P,320,P,298,P,315,P,,,,,,
USGS,1104475,8/6/2023,19.8,P,18.1,P,19.1,P,325,P,315,P,318,P,,,,,,
USGS,1104475,8/7/2023,19,P,18.1,P,18.5,P,334,P,325,P,330,P,,,,,,
USGS,1104475,8/8/2023,23.1,P,18.4,P,21.2,P,335,P,51,P,211,P,,,,,,
USGS,1104475,8/9/2023,22.3,P,19.5,P,21.2,P,327,P,189,P,225,P,,,,,,
USGS,1104475,8/10/2023,22.3,P,19.9,P,20.8,P,261,P,164,P,242,P,,,,,,
USGS,1104475,8/11/2023,21,P,18.4,P,19.9,P,412,P,186,P,268,P,,,,,,
USGS,1104475,8/12/2023,21.1,P,18.7,P,20,P,274,P,260,P,267,P,,,,,,
USGS,1104475,8/13/2023,22,P,20,P,21,P,279,P,256,P,273,P,,,,,,
USGS,1104475,8/14/2023,21.4,P,19.8,P,20.7,P,288,P,279,P,283,P,,,,,,
USGS,1104475,8/15/2023,21,P,20.2,P,20.7,P,289,P,191,P,255,P,,,,,,
USGS,1104475,8/16/2023,20.2,P,19.4,P,19.8,P,282,P,266,P,274,P,,,,,,
USGS,1104475,8/17/2023,19.6,P,19,P,19.4,P,289,P,282,P,286,P,,,,,,
USGS,1104475,8/18/2023,22.2,P,19.2,P,20.4,P,290,P,135,P,241,P,,,,,,
USGS,1104475,8/19/2023,20.2,P,18.6,P,19.3,P,268,P,185,P,254,P,,,,,,
USGS,1104475,8/20/2023,21,P,17.8,P,19.3,P,279,P,238,P,273,P,,,,,,
USGS,1104475,8/21/2023,22.1,P,19,P,20.1,P,284,P,184,P,273,P,,,,,,
USGS,1104475,8/22/2023,21.4,P,19.1,P,20.2,P,284,P,264,P,276,P,,,,,,
USGS,1104475,8/23/2023,20.4,P,18,P,19.1,P,293,P,284,P,288,P,,,,,,
USGS,1104475,8/24/2023,19.8,P,17.5,P,18.7,P,296,P,293,P,295,P,,,,,,
USGS,1104475,8/25/2023,19.5,P,18.2,P,19,P,296,P,127,P,203,P,,,,,,
USGS,1104475,8/26/2023,21.7,P,19.1,P,20.2,P,247,P,221,P,233,P,,,,,,
USGS,1104475,8/27/2023,21.2,P,19.2,P,20,P,262,P,247,P,254,P,,,,,,
USGS,1104475,8/28/2023,20.8,P,18.5,P,19.6,P,274,P,262,P,267,P,,,,,,
USGS,1104475,8/29/2023,20.5,P,18.7,P,19.6,P,277,P,256,P,273,P,,,,,,
USGS,1104475,8/30/2023,20.9,P,19.5,P,20,P,274,P,201,P,266,P,,,,,,
USGS,1104475,8/31/2023,20.6,P,17.9,P,19,P,829,P,274,P,356,P,,,,,,
USGS,1104475,9/1/2023,19.5,P,16.6,P,17.9,P,293,P,271,P,290,P,,,,,,
USGS,1104475,9/2/2023,19.6,P,16.6,P,18.1,P,298,P,292,P,294,P,,,,,,
USGS,1104475,9/3/2023,20.5,P,17.7,P,19,P,305,P,298,P,301,P,,,,,,
USGS,1104475,9/4/2023,20.8,P,18.8,P,19.8,P,309,P,292,P,307,P,,,,,,
USGS,1104475,9/5/2023,21.6,P,19.3,P,20.4,P,310,P,303,P,307,P,,,,,,
USGS,1104475,9/6/2023,22.3,P,20.2,P,21.2,P,309,P,273,P,305,P,,,,,,
USGS,1104475,9/7/2023,22.5,P,20.7,P,21.7,P,313,P,304,P,307,P,,,,,,
USGS,1104475,9/8/2023,22.7,P,20.8,P,21.3,P,317,P,138,P,301,P,,,,,,
USGS,1104475,9/9/2023,21.3,P,20.5,P,20.8,P,309,P,289,P,305,P,,,,,,
USGS,1104475,9/10/2023,21.1,P,20.2,P,20.6,P,304,P,247,P,295,P,,,,,,
USGS,1104475,9/11/2023,21,P,20.2,P,20.6,P,297,P,242,P,290,P,,,,,,
USGS,1104475,9/12/2023,22,P,20.4,P,21.1,P,287,P,172,P,275,P,,,,,,
USGS,1104475,9/13/2023,21.4,P,20.1,P,20.7,P,292,P,182,P,262,P,,,,,,
USGS,1104475,9/14/2023,21.7,P,19.4,P,20.4,P,278,P,253,P,268,P,,,,,,
USGS,1104475,9/15/2023,19.4,P,17.7,P,18.5,P,296,P,267,P,284,P,,,,,,
USGS,1104475,9/16/2023,18.1,P,16.9,P,17.3,P,298,P,269,P,293,P,,,,,,
USGS,1104475,9/17/2023,18.6,P,15.9,P,17.3,P,300,P,297,P,299,P,,,,,,
USGS,1104475,9/18/2023,18.3,P,17.5,P,18,P,301,P,63,P,217,P,,,,,,
USGS,1104475,9/19/2023,19.5,P,17.3,P,18.2,P,215,P,161,P,190,P,,,,,,
USGS,1104475,9/20/2023,19.2,P,16.5,P,17.6,P,241,P,215,P,229,P,,,,,,
USGS,1104475,9/21/2023,18.8,P,15.9,P,17.2,P,257,P,241,P,249,P,,,,,,
USGS,1104475,9/22/2023,17.7,P,15.8,P,16.7,P,267,P,257,P,262,P,,,,,,
USGS,1104475,9/23/2023,16,P,15.3,P,15.6,P,273,P,247,P,270,P,,,,,,
USGS,1104475,9/24/2023,16.1,P,15.6,P,15.8,P,273,P,238,P,266,P,,,,,,
USGS,1104475,9/25/2023,15.8,P,15.4,P,15.7,P,276,P,267,P,272,P,,,,,,
USGS,1104475,9/26/2023,15.8,P,13.9,P,15.1,P,319,P,276,P,284,P,,,,,,
USGS,1104475,9/27/2023,16,P,13,P,14.4,P,288,P,285,P,286,P,,,,,,
USGS,1104475,9/28/2023,16.2,P,13.6,P,14.7,P,296,P,288,P,290,P,,,,,,
USGS,1104475,9/29/2023,14.9,P,14.2,P,14.5,P,294,P,176,P,267,P,,,,,,
USGS,1104475,9/30/2023,15.2,P,14.4,P,14.7,P,276,P,251,P,266,P,,,,,,
USGS,1104475,10/1/2023,16.6,P,13.8,P,15,P,284,P,276,P,280,P,,,,,,
USGS,1104475,10/2/2023,17.3,P,15.1,P,15.9,P,289,P,283,P,286,P,,,,,,
USGS,1104475,10/3/2023,17.6,P,14.1,P,15.8,P,293,P,263,P,290,P,,,,,,
USGS,1104475,10/4/2023,18.7,P,16,P,17.2,P,295,P,292,P,294,P,,,,,,
USGS,1104475,10/5/2023,18.6,P,16.7,P,17.6,P,298,P,294,P,296,P,,,,,,
USGS,1104475,10/6/2023,18.2,P,17.2,P,17.7,P,301,P,297,P,298,P,,,,,,
USGS,1104475,10/7/2023,18,P,17,P,17.7,P,302,P,296,P,300,P,,,,,,
USGS,1104475,10/8/2023,17,P,14.9,P,15.8,P,304,P,293,P,300,P,,,,,,
USGS,1104475,10/9/2023,14.9,P,13.3,P,14.1,P,309,P,304,P,307,P,,,,,,
USGS,1104475,10/10/2023,14.4,P,12.8,P,13.5,P,339,P,307,P,319,P,,,,,,
USGS,1104475,10/11/2023,14.8,P,12.6,P,13.8,P,336,P,308,P,319,P,,,,,,
USGS,1104475,10/12/2023,15.2,P,13.3,P,14.3,P,314,P,308,P,310,P,,,,,,
USGS,1104475,10/13/2023,14.5,P,13,P,13.6,P,314,P,308,P,311,P,,,,,,
USGS,1104475,10/14/2023,13.7,P,12.5,P,13.2,P,315,P,310,P,313,P,,,,,,
USGS,1104475,10/15/2023,13.4,P,12.5,P,13,P,314,P,308,P,311,P,,,,,,
USGS,1104475,10/16/2023,13.4,P,12.4,P,12.8,P,312,P,305,P,309,P,,,,,,
USGS,1104475,10/17/2023,13.3,P,12.2,P,12.8,P,401,P,304,P,315,P,,,,,,
USGS,1104475,10/18/2023,13.5,P,12.3,P,12.9,P,309,P,299,P,304,P,,,,,,
USGS,1104475,10/19/2023,13.9,P,12.8,P,13.3,P,311,P,297,P,302,P,,,,,,
USGS,1104475,10/20/2023,13.9,P,12.4,P,13.3,P,312,P,303,P,308,P,,,,,,
