agency_cd,site_no,datetime,214163_63680_00002,214163_63680_00002_cd,214164_63680_00001,214164_63680_00001_cd,Turbidity (FNU),Turbidity (FNU)_cd,64196_00010_00001,64196_00010_00001_cd,64197_00010_00002,64197_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64199_00095_00001,64199_00095_00001_cd,64200_00095_00002,64200_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd
USGS,1104455,6/2/2023,0.3,P,247,P,7.6,P,21.7,P,14.4,P,16.1,P,1370,P,147,P,1230,P
USGS,1104455,6/3/2023,0.3,P,6.6,P,1.9,P,20.1,P,14.2,P,16.2,P,1300,P,1160,P,1270,P
USGS,1104455,6/4/2023,0.3,P,10.6,P,1.5,P,14.4,P,13.9,P,14.2,P,1310,P,1030,P,1270,P
USGS,1104455,6/5/2023,0.3,P,14.3,P,3.3,P,14.5,P,13.6,P,14.2,P,1300,P,908,P,1210,P
USGS,1104455,6/6/2023,0.3,P,5,P,0.4,P,14.4,P,13.6,P,14,P,1330,P,1300,P,1320,P
USGS,1104455,6/7/2023,0.3,P,1,P,0.3,P,14,P,13.5,P,13.8,P,1340,P,1310,P,1320,P
USGS,1104455,6/8/2023,0.3,P,1,P,0.3,P,14.3,P,13.5,P,13.8,P,1330,P,1310,P,1320,P
USGS,1104455,6/9/2023,0.3,P,165,P,6.4,P,17.5,P,13.5,P,14.8,P,1340,P,137,P,1200,P
USGS,1104455,6/10/2023,0.8,P,31.7,P,2.9,P,16.2,P,14.2,P,14.8,P,1270,P,509,P,1180,P
USGS,1104455,6/11/2023,0.4,P,2.3,P,1,P,15.4,P,14.3,P,14.8,P,1260,P,1180,P,1240,P
USGS,1104455,6/12/2023,0.3,P,42,P,2.3,P,20.1,P,14.6,P,15.4,P,1270,P,325,P,1190,P
USGS,1104455,6/13/2023,0.4,P,56.8,P,5.4,P,18.9,P,15,P,16.4,P,1480,P,957,P,1310,P
USGS,1104455,6/14/2023,0.3,P,696,P,5.6,P,20.2,P,14.5,P,16,P,1510,P,160,P,1340,P
USGS,1104455,6/15/2023,0.4,P,3,P,1.1,P,19.4,P,16.3,P,17,P,1420,P,1150,P,1360,P
USGS,1104455,6/16/2023,0.3,P,1.3,P,0.5,P,16.6,P,15.5,P,16,P,1480,P,1410,P,1440,P
USGS,1104455,6/17/2023,0.3,P,52.4,P,6.6,P,18.6,P,15,P,16.8,P,1490,P,62,P,1050,P
USGS,1104455,6/18/2023,0.6,P,4.8,P,2.4,P,18.2,P,15.4,P,16.5,P,1230,P,792,P,1110,P
USGS,1104455,6/19/2023,0.3,P,1.1,P,0.4,P,15.4,P,14.6,P,15.1,P,1380,P,1230,P,1300,P
USGS,1104455,6/20/2023,0.3,P,1.9,P,0.4,P,15.3,P,14.4,P,14.8,P,1500,P,1310,P,1390,P
USGS,1104455,6/21/2023,0.3,P,0.9,P,0.3,P,15.5,P,13.8,P,14.7,P,1520,P,1280,P,1450,P
USGS,1104455,6/22/2023,0.3,P,7.5,P,0.4,P,15.4,P,14.1,P,14.6,P,1530,P,1460,P,1490,P
USGS,1104455,6/23/2023,0.3,P,0.7,P,0.3,P,15.4,P,14.5,P,14.9,P,1530,P,1450,P,1490,P
USGS,1104455,6/24/2023,0.3,P,1.5,P,0.3,P,15.7,P,14.6,P,15.2,P,1530,P,1450,P,1490,P
USGS,1104455,6/25/2023,0.3,P,61.2,P,3.7,P,23.4,P,14.7,P,16.7,P,1520,P,418,P,1340,P
USGS,1104455,6/26/2023,0.3,P,4.8,P,0.4,P,17.3,P,15.7,P,16.1,P,1480,P,1370,P,1450,P
USGS,1104455,6/27/2023,0.3,P,12.8,P,1.5,P,17.9,P,15.2,P,16.6,P,1550,P,673,P,1340,P
USGS,1104455,6/28/2023,0.3,P,92.7,P,6.3,P,22,P,15.2,P,17.3,P,1480,P,236,P,1200,P
USGS,1104455,6/29/2023,0.3,P,15.2,P,0.9,P,20.4,P,16.1,P,17.4,P,1460,P,1080,P,1340,P
USGS,1104455,6/30/2023,0.3,P,1,P,0.3,P,16.5,P,15.5,P,16,P,1480,P,1040,P,1450,P
USGS,1104455,7/1/2023,0.3,P,33.2,P,0.5,P,16.7,P,15.1,P,16,P,1490,P,1370,P,1470,P
USGS,1104455,7/2/2023,0.3,P,65.1,P,7.5,P,21.8,P,14.6,P,18.4,P,1500,P,146,P,941,P
USGS,1104455,7/3/2023,0.3,P,187,P,4.5,P,20.5,P,17.1,P,19.1,P,1120,P,38,P,924,P
USGS,1104455,7/4/2023,0.3,P,18,P,3,P,21.6,P,17,P,19.2,P,1120,P,162,P,791,P
USGS,1104455,7/5/2023,0.3,P,3.1,P,0.3,P,18.5,P,17.2,P,17.7,P,1170,P,776,P,1060,P
USGS,1104455,7/6/2023,0.3,P,3.1,P,0.3,P,18.6,P,17,P,17.6,P,1320,P,1110,P,1230,P
USGS,1104455,7/7/2023,0.3,P,0.8,P,0.3,P,17.7,P,16.4,P,16.9,P,1400,P,1310,P,1350,P
USGS,1104455,7/8/2023,0.3,P,0.4,P,0.3,P,17.9,P,16.2,P,16.8,P,1430,P,1380,P,1400,P
USGS,1104455,7/9/2023,0.3,P,0.8,P,0.3,P,16.9,P,16.1,P,16.5,P,1450,P,1410,P,1430,P
USGS,1104455,7/10/2023,0.3,P,87.8,P,10.2,P,22,P,15.9,P,19.6,P,1460,P,86,P,864,P
USGS,1104455,7/11/2023,0.3,P,2.9,P,0.7,P,20.6,P,17,P,18.1,P,1190,P,901,P,1080,P
USGS,1104455,7/12/2023,0.3,P,0.3,P,0.3,P,17.7,P,16.6,P,17.1,P,1330,P,1180,P,1260,P
USGS,1104455,7/13/2023,0.3,P,0.6,P,0.3,P,17.4,P,15.6,P,16.9,P,1410,P,1330,P,1350,P
USGS,1104455,7/14/2023,0.3,P,29.7,P,3.2,P,20.4,P,15.6,P,18.3,P,1410,P,258,P,1090,P
USGS,1104455,7/15/2023,0.3,P,0.5,P,0.3,P,17.6,P,16.4,P,16.9,P,1390,P,994,P,1350,P
USGS,1104455,7/16/2023,0.3,P,289,P,8.7,P,25,P,15.6,P,20.5,P,1410,P,38,P,817,P
USGS,1104455,7/17/2023,0.3,P,2.6,P,0.9,P,21.8,P,18.3,P,19.7,P,1050,P,732,P,897,P
USGS,1104455,7/18/2023,0.3,P,1.2,P,0.3,P,18.6,P,17.6,P,18.1,P,1260,P,1030,P,1130,P
USGS,1104455,7/19/2023,0.3,P,0.9,P,0.3,P,17.8,P,17,P,17.4,P,1340,P,1210,P,1270,P
USGS,1104455,7/20/2023,0.3,P,1.3,P,0.3,P,17.4,P,16.4,P,16.9,P,1400,P,991,P,1360,P
USGS,1104455,7/21/2023,0.3,P,117,P,5.1,P,21.9,P,16.2,P,17.4,P,1400,P,40,P,1180,P
USGS,1104455,7/22/2023,0.3,P,6.8,P,2.2,P,21.1,P,17.7,P,19.2,P,1060,P,626,P,908,P
USGS,1104455,7/23/2023,0.3,P,0.6,P,0.3,P,18,P,17,P,17.4,P,1230,P,830,P,1140,P
USGS,1104455,7/24/2023,0.3,P,0.5,P,0.3,P,17.4,P,16.6,P,16.9,P,1340,P,994,P,1280,P
USGS,1104455,7/25/2023,0.3,P,141,P,8.6,P,23.6,P,16.5,P,18.7,P,1340,P,54,P,1030,P
USGS,1104455,7/26/2023,0.3,P,3.1,P,0.9,P,20,P,17.2,P,18,P,1180,P,869,P,1070,P
USGS,1104455,7/27/2023,0.3,P,6.5,P,0.7,P,19,P,16.6,P,17.5,P,1310,P,908,P,1190,P
USGS,1104455,7/28/2023,0.3,P,1.3,P,0.3,P,18,P,16.7,P,17.3,P,1340,P,1180,P,1280,P
USGS,1104455,7/29/2023,0.3,P,248,P,8,P,26.4,P,16.7,P,19.1,P,1360,P,35,P,1040,P
USGS,1104455,7/30/2023,0.3,P,4,P,1.1,P,22.1,P,17.3,P,18.9,P,1090,P,703,P,951,P
USGS,1104455,7/31/2023,0.3,P,18.6,P,0.5,P,17.8,P,16.6,P,17.1,P,1240,P,1060,P,1170,P
USGS,1104455,8/1/2023,0.3,P,1.7,P,0.3,P,17,P,16.2,P,16.6,P,1330,P,1230,P,1280,P
USGS,1104455,8/2/2023,0.3,P,0.3,P,0.3,P,16.8,P,15.8,P,16.2,P,1370,P,1310,P,1340,P
USGS,1104455,8/3/2023,0.3,P,18.6,P,1.5,P,16.8,P,15.7,P,16.2,P,1390,P,1320,P,1370,P
USGS,1104455,8/4/2023,0.3,P,6.1,P,2.2,P,16.2,P,15.7,P,15.9,P,1410,P,1380,P,1390,P
USGS,1104455,8/5/2023,0.3,P,7.1,P,2.6,P,16.7,P,15.6,P,16,P,1420,P,1160,P,1400,P
USGS,1104455,8/6/2023,0.3,P,3.5,P,0.4,P,16.8,P,15.6,P,16.1,P,1430,P,1080,P,1420,P
USGS,1104455,8/7/2023,0.3,P,1.6,P,0.5,P,16.1,P,15.6,P,15.8,P,1430,P,1020,P,1420,P
USGS,1104455,8/8/2023,0.5,P,143,P,18.9,P,23.5,P,15.4,P,20.3,P,1430,P,27,P,702,P
USGS,1104455,8/9/2023,3.1,P,39.6,P,9.5,P,19.8,P,17.5,P,18.3,P,1060,P,637,P,937,P
USGS,1104455,8/10/2023,6.4,P,81.8,P,18.3,P,21.3,P,17,P,17.7,P,1190,P,170,P,1020,P
USGS,1104455,8/11/2023,30.3,P,58.7,P,45,P,21.3,P,16.9,P,17.9,P,1190,P,171,P,1030,P
USGS,1104455,8/12/2023,1.6,P,62.4,P,16.4,P,17.3,P,16.4,P,16.8,P,1290,P,1180,P,1240,P
USGS,1104455,8/13/2023,2.3,P,9.2,P,4.7,P,18.2,P,16.5,P,17,P,1330,P,792,P,1250,P
USGS,1104455,8/14/2023,5.4,P,8.3,P,6.5,P,16.7,P,16.1,P,16.4,P,1370,P,1300,P,1340,P
USGS,1104455,8/15/2023,0.3,P,169,P,30.3,P,21.2,P,16.1,P,18.9,P,1370,P,159,P,841,P
USGS,1104455,8/16/2023,0.3,P,6.8,P,0.4,P,17.6,P,16.5,P,16.9,P,1240,P,911,P,1160,P
USGS,1104455,8/17/2023,0.3,P,0.4,P,0.3,P,16.5,P,16.2,P,16.4,P,1310,P,1230,P,1270,P
USGS,1104455,8/18/2023,0.3,P,292,P,9.4,P,24.6,P,16,P,18.9,P,1330,P,58,P,879,P
USGS,1104455,8/19/2023,0.3,P,4.1,P,1,P,18.7,P,16.4,P,17,P,1150,P,894,P,1040,P
USGS,1104455,8/20/2023,0.3,P,1.1,P,0.3,P,16.8,P,16,P,16.4,P,1260,P,1030,P,1200,P
USGS,1104455,8/21/2023,0.3,P,38.3,P,2.3,P,24.2,P,16,P,17.3,P,1310,P,94,P,1120,P
USGS,1104455,8/22/2023,3.5,P,7.2,P,4.3,P,19.9,P,16.3,P,17.3,P,1230,P,882,P,1130,P
USGS,1104455,8/23/2023,4.8,P,8.3,P,6.6,P,16.4,P,15.8,P,16.1,P,1310,P,1230,P,1280,P
USGS,1104455,8/24/2023,6.6,P,9.2,P,7.7,P,16.2,P,15.5,P,15.8,P,1340,P,1300,P,1320,P
USGS,1104455,8/25/2023,8.1,P,48.4,P,13.1,P,20.6,P,15.6,P,18.9,P,1340,P,52,P,440,P
USGS,1104455,8/26/2023,10.6,P,23.4,P,15.9,P,18.8,P,17.9,P,18.4,P,932,P,682,P,814,P
USGS,1104455,8/27/2023,19,P,41.9,P,26.2,P,17.9,P,17.1,P,17.5,P,1070,P,932,P,1000,P
USGS,1104455,8/28/2023,22.1,P,43.8,P,28.5,P,17.4,P,16.7,P,17,P,1140,P,1060,P,1100,P
USGS,1104455,8/29/2023,23.9,P,58,P,30.1,P,19.4,P,16.5,P,16.9,P,1210,P,556,P,1130,P
USGS,1104455,8/30/2023,45.3,P,146,P,94.7,P,20.2,P,17,P,18.2,P,1110,P,353,P,925,P
USGS,1104455,8/31/2023,26,P,58,P,36.7,P,17,P,16.2,P,16.5,P,1220,P,1100,P,1170,P
USGS,1104455,9/1/2023,0.3,P,44.6,P,7.1,P,16.4,P,15.8,P,16,P,1290,P,923,P,1250,P
USGS,1104455,9/2/2023,0.3,P,2.2,P,0.3,P,16.4,P,15.6,P,15.9,P,1330,P,1280,P,1310,P
USGS,1104455,9/3/2023,0.3,P,6.8,P,0.6,P,16.5,P,15.8,P,16.1,P,1350,P,1070,P,1330,P
USGS,1104455,9/4/2023,0.3,P,3.4,P,0.8,P,16.7,P,15.9,P,16.2,P,1360,P,1140,P,1340,P
USGS,1104455,9/5/2023,0.3,P,0.3,P,0.3,P,16.8,P,15.9,P,16.2,P,1370,P,1350,P,1360,P
USGS,1104455,9/6/2023,0.3,P,1.3,P,0.3,P,16.8,P,15.9,P,16.3,P,1380,P,1340,P,1370,P
USGS,1104455,9/7/2023,0.3,P,9.2,P,0.4,P,17,P,16,P,16.3,P,1390,P,1090,P,1370,P
USGS,1104455,9/8/2023,0.3,P,74.6,P,4.4,P,23.4,P,16,P,17.5,P,1390,P,184,P,1210,P
USGS,1104455,9/9/2023,0.3,P,5.3,P,0.4,P,17.3,P,15.8,P,16.8,P,1340,P,1160,P,1300,P
USGS,1104455,9/10/2023,0.3,P,50.1,P,6.6,P,25.2,P,16.2,P,18.8,P,1350,P,103,P,997,P
USGS,1104455,9/11/2023,9.3,P,43.8,P,17.6,P,21.9,P,16.9,P,18.2,P,1220,P,227,P,988,P
USGS,1104455,9/12/2023,29.2,P,102,P,52.4,P,20.8,P,17.1,P,18.2,P,1210,P,222,P,1020,P
USGS,1104455,9/13/2023,42.9,P,298,P,114,P,23.1,P,16.6,P,18.9,P,1250,P,145,P,853,P
USGS,1104455,9/14/2023,99,P,167,P,115,P,20.2,P,17.1,P,18.1,P,1070,P,742,P,950,P
USGS,1104455,9/15/2023,13,P,183,P,81.6,P,17.1,P,16.2,P,16.6,P,1210,P,1070,P,1150,P
USGS,1104455,9/16/2023,23.3,P,96.2,P,47.3,P,16.3,P,15.7,P,16,P,1290,P,1090,P,1220,P
USGS,1104455,9/17/2023,12.8,P,66.9,P,19.7,P,16.2,P,15.4,P,15.8,P,1300,P,1270,P,1280,P
USGS,1104455,9/18/2023,18.5,P,145,P,48.2,P,19.7,P,15.7,P,18,P,1310,P,33,P,558,P
USGS,1104455,9/19/2023,21.3,P,203,P,109,P,18.9,P,17.8,P,18.4,P,743,P,330,P,587,P
USGS,1104455,9/20/2023,187,P,335,P,247,P,17.8,P,17,P,17.4,P,936,P,743,P,850,P
USGS,1104455,9/21/2023,218,P,465,P,350,P,17.2,P,16.4,P,16.8,P,1050,P,936,P,1000,P
USGS,1104455,9/22/2023,218,P,499,P,336,P,16.6,P,16.1,P,16.3,P,1120,P,1040,P,1080,P
USGS,1104455,9/23/2023,259,P,588,P,461,P,16.2,P,15.8,P,15.9,P,1150,P,457,P,1110,P
USGS,1104455,9/24/2023,479,P,846,P,689,P,17,P,15.9,P,16.1,P,1120,P,456,P,996,P
USGS,1104455,9/25/2023,801,P,946,P,878,P,16.2,P,15.7,P,16,P,1110,P,787,P,1040,P
USGS,1104455,9/26/2023,930,P,1010,P,965,P,15.9,P,15.1,P,15.5,P,1180,P,1060,P,1130,P
USGS,1104455,9/27/2023,0.3,P,2730,P,480,P,15.6,P,14.8,P,15.2,P,1220,P,1150,P,1190,P
USGS,1104455,9/28/2023,0.3,P,2.7,P,0.3,P,15.5,P,14.9,P,15.2,P,1250,P,1190,P,1230,P
USGS,1104455,9/29/2023,0.3,P,52.8,P,6.5,P,16.4,P,15,P,15.4,P,1270,P,108,P,900,P
USGS,1104455,9/30/2023,0.3,P,8.7,P,1.1,P,15.6,P,14.8,P,15.4,P,1030,P,340,P,891,P
USGS,1104455,10/1/2023,0.3,P,2,P,0.3,P,15.8,P,15,P,15.4,P,1130,P,1000,P,1060,P
USGS,1104455,10/2/2023,0.3,P,0.7,P,0.3,P,15.7,P,15.2,P,15.4,P,1190,P,1110,P,1150,P
USGS,1104455,10/3/2023,0.3,P,0.3,P,0.3,P,15.8,P,14.9,P,15.3,P,1230,P,1180,P,1200,P
USGS,1104455,10/4/2023,0.3,P,1.9,P,0.3,P,15.9,P,15.3,P,15.6,P,1290,P,1220,P,1240,P
USGS,1104455,10/5/2023,0.3,P,0.9,P,0.3,P,15.8,P,15.4,P,15.6,P,1280,P,1250,P,1270,P
USGS,1104455,10/6/2023,0.3,P,0.3,P,0.3,P,15.7,P,15.5,P,15.6,P,1290,P,1270,P,1280,P
USGS,1104455,10/7/2023,0.3,P,17.7,P,2.2,P,17.4,P,15.5,P,15.9,P,1290,P,616,P,1190,P
USGS,1104455,10/8/2023,0.3,P,9.8,P,1,P,16.4,P,14.9,P,15.4,P,1290,P,629,P,1190,P
USGS,1104455,10/9/2023,0.3,P,0.6,P,0.3,P,14.9,P,14.5,P,14.7,P,1310,P,711,P,1290,P
USGS,1104455,10/10/2023,0.3,P,9.6,P,0.8,P,15.1,P,14.3,P,14.7,P,1340,P,1090,P,1280,P
USGS,1104455,10/11/2023,0.3,P,41,P,1.1,P,14.9,P,14.3,P,14.6,P,1320,P,1280,P,1300,P
USGS,1104455,10/12/2023,0.3,P,21.2,P,1.2,P,14.8,P,14.4,P,14.6,P,1320,P,1300,P,1310,P
USGS,1104455,10/13/2023,0.3,P,0.3,P,0.3,P,14.6,P,14.1,P,14.3,P,1330,P,1300,P,1310,P
USGS,1104455,10/14/2023,0.3,P,1.5,P,0.3,P,14.4,P,14,P,14.2,P,1340,P,1230,P,1320,P
USGS,1104455,10/15/2023,0.3,P,0.3,P,0.3,P,14.3,P,14,P,14.2,P,1330,P,1240,P,1320,P
USGS,1104455,10/16/2023,0.3,P,7.5,P,0.4,P,14.4,P,14,P,14.1,P,1340,P,1270,P,1320,P
USGS,1104455,10/17/2023,0.3,P,0.5,P,0.3,P,14.3,P,13.9,P,14.1,P,1330,P,1240,P,1310,P
USGS,1104455,10/18/2023,0.3,P,0.3,P,0.3,P,14.3,P,13.9,P,14.1,P,1340,P,1260,P,1320,P
USGS,1104455,10/19/2023,0.3,P,0.3,P,0.3,P,14.3,P,14,P,14.1,P,1330,P,1250,P,1320,P
USGS,1104455,10/20/2023,0.3,P,0.3,P,0.3,P,14.4,P,13.9,P,14.1,P,1330,P,1240,P,1320,P
