agency_cd,site_no,datetime,64080_00095_00001,64080_00095_00001_cd,64081_00095_00002,64081_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,64083_00010_00001,64083_00010_00001_cd,64084_00010_00002,64084_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,
USGS,1095434,7/25/2023,,,,,,,21.7,P,16.6,P,18.3,P,,,,,,
USGS,1095434,7/26/2023,,,,,,,19.6,P,17.3,P,18.4,P,,,,,,
USGS,1095434,7/27/2023,,,,,,,20,P,17.4,P,18.5,P,,,,,,
USGS,1095434,7/28/2023,,,,,,,20,P,17.6,P,18.6,P,,,,,,
USGS,1095434,7/29/2023,,,,,,,22.6,P,17.7,P,19.1,P,,,,,,
USGS,1095434,7/30/2023,,,,,,,19.5,P,16.2,P,17.5,P,,,,,,
USGS,1095434,7/31/2023,,,,,,,18,P,15.3,P,16.7,P,,,,,,
USGS,1095434,8/1/2023,,,,,,,17.4,P,14.9,P,16.2,P,,,,,,
USGS,1095434,8/2/2023,,,,,,,16.8,P,13.8,P,15.3,P,,,,,,
USGS,1095434,8/3/2023,926,P,905,P,917,P,17.6,P,14.2,P,15.8,P,,,,,,
USGS,1095434,8/4/2023,930,P,922,P,927,P,17.2,P,15.6,P,16.3,P,,,,,,
USGS,1095434,8/5/2023,943,P,928,P,935,P,18.3,P,15.8,P,16.8,P,,,,,,
USGS,1095434,8/6/2023,952,P,940,P,946,P,17.9,P,14.7,P,16.2,P,,,,,,
USGS,1095434,8/7/2023,951,P,867,P,937,P,16.8,P,15.4,P,16.1,P,,,,,,
USGS,1095434,8/8/2023,918,P,283,P,702,P,21.4,P,16.5,P,18.6,P,,,,,,
USGS,1095434,8/9/2023,921,P,768,P,886,P,18.8,P,16.9,P,17.8,P,,,,,,
USGS,1095434,8/10/2023,,,,,,,21,P,16.2,P,17.7,P,,,,,,
USGS,1095434,8/11/2023,,,,,,,19.6,P,16.6,P,18.2,P,,,,,,
USGS,1095434,8/12/2023,,,,,,,18.3,P,15.4,P,16.9,P,,,,,,
USGS,1095434,8/13/2023,,,,,,,19.3,P,16.9,P,17.7,P,,,,,,
USGS,1095434,8/14/2023,,,,,,,18.9,P,16.3,P,17.4,P,,,,,,
USGS,1095434,8/15/2023,,,,,,,19.9,P,16.9,P,18.4,P,,,,,,
USGS,1095434,8/16/2023,,,,,,,17.6,P,16.8,P,17.1,P,,,,,,
USGS,1095434,8/17/2023,,,,,,,17.5,P,16.6,P,17,P,,,,,,
USGS,1095434,8/18/2023,,,,,,,19.7,P,16.6,P,18.2,P,,,,,,
USGS,1095434,8/19/2023,,,,,,,17.2,P,16,P,16.6,P,,,,,,
USGS,1095434,8/20/2023,,,,,,,18,P,15.4,P,16.6,P,,,,,,
USGS,1095434,8/21/2023,,,,,,,18.2,P,16.1,P,17.1,P,,,,,,
USGS,1095434,8/22/2023,891,P,850,P,877,P,17.7,P,15.3,P,16.5,P,,,,,,
USGS,1095434,8/23/2023,904,P,859,P,896,P,17.1,P,14.1,P,15.5,P,,,,,,
USGS,1095434,8/24/2023,909,P,853,P,900,P,16.7,P,14,P,15.4,P,,,,,,
USGS,1095434,8/25/2023,889,P,181,P,537,P,18.8,P,15.6,P,17.5,P,,,,,,
USGS,1095434,8/26/2023,806,P,664,P,752,P,18.8,P,17.2,P,17.8,P,,,,,,
USGS,1095434,8/27/2023,846,P,806,P,828,P,18.2,P,16.2,P,17.1,P,,,,,,
USGS,1095434,8/28/2023,868,P,846,P,858,P,17.8,P,15.5,P,16.7,P,,,,,,
USGS,1095434,8/29/2023,881,P,858,P,873,P,18,P,16,P,17,P,,,,,,
USGS,1095434,8/30/2023,874,P,719,P,847,P,18.6,P,16.6,P,17.3,P,,,,,,
USGS,1095434,8/31/2023,895,P,865,P,884,P,17.1,P,14.4,P,15.9,P,,,,,,
USGS,1095434,9/1/2023,905,P,894,P,900,P,16.3,P,13.2,P,14.7,P,,,,,,
USGS,1095434,9/2/2023,912,P,903,P,907,P,16.9,P,13.4,P,15.1,P,,,,,,
USGS,1095434,9/3/2023,921,P,911,P,916,P,18,P,15,P,16.4,P,,,,,,
USGS,1095434,9/4/2023,928,P,917,P,922,P,18.5,P,15.7,P,16.9,P,,,,,,
USGS,1095434,9/5/2023,930,P,908,P,926,P,18.6,P,16.2,P,17.3,P,,,,,,
USGS,1095434,9/6/2023,933,P,924,P,928,P,19.2,P,16.6,P,17.7,P,,,,,,
USGS,1095434,9/7/2023,939,P,931,P,935,P,19.6,P,16.8,P,18,P,,,,,,
USGS,1095434,9/8/2023,940,P,276,P,765,P,22.9,P,17,P,18.9,P,,,,,,
USGS,1095434,9/9/2023,917,P,366,P,823,P,19.9,P,17.6,P,18.5,P,,,,,,
USGS,1095434,9/10/2023,894,P,616,P,787,P,19.8,P,17.7,P,18.4,P,,,,,,
USGS,1095434,9/11/2023,,,,,,,20.8,P,17.5,P,18.6,P,,,,,,
USGS,1095434,9/12/2023,,,,,,,19.9,P,18,P,19,P,,,,,,
USGS,1095434,9/13/2023,,,,,,,19.4,P,17.1,P,18.1,P,,,,,,
USGS,1095434,9/14/2023,,,,,,,18.1,P,15.6,P,17.1,P,,,,,,
USGS,1095434,9/15/2023,873,P,837,P,857,P,16.1,P,14.5,P,15.2,P,,,,,,
USGS,1095434,9/16/2023,905,P,873,P,887,P,15.8,P,14.5,P,14.9,P,,,,,,
USGS,1095434,9/17/2023,910,P,898,P,903,P,16.5,P,13.3,P,14.9,P,,,,,,
USGS,1095434,9/18/2023,913,P,245,P,589,P,18,P,15.2,P,16.5,P,,,,,,
USGS,1095434,9/19/2023,750,P,285,P,628,P,17.1,P,15.4,P,16.3,P,,,,,,
USGS,1095434,9/20/2023,824,P,750,P,783,P,16.5,P,14.4,P,15.3,P,,,,,,
USGS,1095434,9/21/2023,850,P,817,P,835,P,16,P,13.2,P,14.5,P,,,,,,
USGS,1095434,9/22/2023,864,P,850,P,857,P,15.5,P,13,P,14.2,P,,,,,,
USGS,1095434,9/23/2023,868,P,846,P,865,P,13.8,P,13.3,P,13.6,P,,,,,,
USGS,1095434,9/24/2023,862,P,533,P,790,P,15,P,13.7,P,14.1,P,,,,,,
USGS,1095434,9/25/2023,736,P,485,P,661,P,14.5,P,13.8,P,14.3,P,,,,,,
USGS,1095434,9/26/2023,834,P,736,P,803,P,14.5,P,12.1,P,13.6,P,,,,,,
USGS,1095434,9/27/2023,857,P,792,P,839,P,14.2,P,11.1,P,12.6,P,,,,,,
USGS,1095434,9/28/2023,867,P,825,P,859,P,14.5,P,12,P,13.1,P,,,,,,
USGS,1095434,9/29/2023,,,,,,,13.5,P,12.4,P,12.8,P,,,,,,
USGS,1095434,9/30/2023,,,,,,,14,P,12.7,P,13.4,P,,,,,,
USGS,1095434,10/1/2023,,,,,,,15,P,12.8,P,13.9,P,,,,,,
USGS,1095434,10/2/2023,,,,,,,15.4,P,13.4,P,14.4,P,,,,,,
USGS,1095434,10/3/2023,,,,,,,15.6,P,12.6,P,14.3,P,,,,,,
USGS,1095434,10/4/2023,,,,,,,16.5,P,14.3,P,15.4,P,,,,,,
USGS,1095434,10/5/2023,,,,,,,16.6,P,14.9,P,15.5,P,,,,,,
USGS,1095434,10/6/2023,,,,,,,17,P,15,P,15.6,P,,,,,,
USGS,1095434,10/7/2023,,,,,,,16.6,P,15.3,P,16,P,,,,,,
USGS,1095434,10/8/2023,,,,,,,15.3,P,12.9,P,13.9,P,,,,,,
USGS,1095434,10/9/2023,,,,,,,13.5,P,11.6,P,12.5,P,,,,,,
USGS,1095434,10/10/2023,,,,,,,13.5,P,11.4,P,12.3,P,,,,,,
USGS,1095434,10/11/2023,840,P,829,P,833,P,13.9,P,11.3,P,12.6,P,,,,,,
USGS,1095434,10/12/2023,847,P,839,P,842,P,14.1,P,11.9,P,12.9,P,,,,,,
USGS,1095434,10/13/2023,854,P,847,P,850,P,13.1,P,11.2,P,12,P,,,,,,
USGS,1095434,10/14/2023,859,P,852,P,855,P,12.6,P,11,P,11.8,P,,,,,,
USGS,1095434,10/15/2023,863,P,858,P,860,P,12.6,P,11.1,P,11.7,P,,,,,,
USGS,1095434,10/16/2023,861,P,793,P,847,P,12.8,P,11.2,P,11.8,P,,,,,,
USGS,1095434,10/17/2023,860,P,841,P,854,P,12.5,P,10.9,P,11.8,P,,,,,,
USGS,1095434,10/18/2023,864,P,856,P,861,P,13.2,P,11.5,P,12.2,P,,,,,,
USGS,1095434,10/19/2023,869,P,863,P,866,P,13.9,P,11.6,P,12.6,P,,,,,,
USGS,1095434,10/20/2023,870,P,853,P,867,P,13.5,P,11.8,P,12.8,P,,,,,,
