Title,Latitude,Longitude,Date,Elevation
"""Carlos Vives: El Tour De Los 30""",42.3494,-71.065,5/10/2023,6.369189262390137
"""Coreyfest 2023 featuring Tyler Hubbard""",42.3534,-71.1197,5/10/2023,7.522291660308838
"""ENRIQUE IGLESIAS RICKY MARTIN & PITBULL""",42.3662,-71.0621,6/1/2023,3.020291566848755
"""DJs at The Grand""",42.3519,-71.0486,6/1/2023,2.122277975082397
"""Drag Brunch at Summer Shack""",42.3477,-71.0874,6/1/2023,2.366245985031128
"""Fat Ham at The Huntington Calderwood Theatre""",42.3436,-71.1159,6/1/2023,5.584748268127441
"""IAN BAGG""",42.3521,-71.047,6/1/2023,2.974618673324585
"""Improv Asylum Main Stage Show""",42.3649,-71.0562,6/1/2023,3.150490283966064
"""INDEPENDENT FILM FESTIVAL BOSTON: FALL FOCUS 2023""",42.3701,-71.1061,6/1/2023,9.429779052734377
"""LATE NIGHT LOUNGE""",42.3492,-71.0762,6/1/2023,3.49515700340271
"""MR. SWINDLE'S TRAVELING PECULIARIUM AND DRINK-ORY GARDEN""",42.3444,-71.0384,2/3/2023,2.761677742004395
"""The Book of Life: HOPE & HARMONY FROM RWANDAN VOICES""",42.3562,-71.0625,2/3/2023,12.82168579101562
"""The Ghosts of Boston - All Ages Tour""",42.3584,-71.059,2/3/2023,11.30233669281006
"""The Ghosts of our (Founding) Fathers Haunted Pub Crawl""",42.3594,-71.0594,2/3/2023,12.15215682983398
"""View Boston After Dark""",42.3705,-71.0794,2/3/2023,7.896556377410889
"""Polly Sumner Doll: Conventional & Controversial Cargo Exhibit""",42.3581,-71.0582,4/14/2023,10.01798820495605
"""Musik on the Harpsichord & Hammered Dulcimer""",42.3636,-71.0557,4/14/2023,4.119318008422852
"""The Salem Witch Trials Walk""",42.5217,-70.8967,4/14/2023,6.907562732696533
"""BOSTON LIGHTS: A LANTERN EXPERIENCE""",42.3023,-71.0862,4/14/2023,43.81676483154297
"""Brick-or-Treat: MONSTER PARTY""",42.3612,-71.0597,4/14/2023,10.26631355285645
"""Carousel on The Boston Common Frog Pond""",42.3553,-71.0654,4/14/2023,7.572421073913574
"""Dino Safari: A Walk-Thru Adventure""",42.359,-71.0532,4/14/2023,2.991399765014648
"""Greenway Carousel""",42.3584,-71.0501,4/14/2023,0.0
"""MATTEL PRESENTS: MONSTER HIGH LIVE""",42.3523,-71.1159,4/14/2023,5.733081817626953
"""Salem Haunted Happenings""",42.5217,-70.8967,4/14/2023,6.907562732696533
"""Culinary Garden featuring Schramsberg""",42.4374,-71.2253,4/14/2023,62.18605422973633
"""Legal Sea Foods Oyster Festival""",42.3602,-71.0588,4/14/2023,10.34275245666504
"""Rise & Remix Brunch""",42.3619,-71.0938,3/7/2023,1.672358393669128
"""Tours at City Winery""",42.3484,-71.0482,3/7/2023,3.054167747497559
"""Trillium on the Greenway""",42.3526,-71.0551,3/7/2023,4.286103248596191
"""Wine Tastings at City Winery""",42.3484,-71.0482,3/7/2023,3.054167747497559
"""Live Music at The Beehive""",42.3431,-71.0714,3/7/2023,2.535197257995605
"""Wally's Cafe Jazz Club""",42.3419,-71.0894,3/7/2023,3.715908765792847
"""STORIES OF HARVARD SQUARE CAMBRIDGE FOOD TOUR""",42.3736,-71.1187,3/7/2023,6.581562042236328
"""2023 James and Audrey Foster Prize""",42.3527,-71.0436,3/7/2023,2.85927939414978
"""Alive with Birds""",42.4583,-71.3453,3/7/2023,39.10260772705078
"""Boston Athenaeum: Art & Architecture Tour""",42.3585,-71.0615,3/7/2023,22.8863468170166
"""Dancing in the Courtyard""",42.3613,-71.0803,3/7/2023,2.97297191619873
"""FLOW""",42.3497,-71.0832,3/7/2023,2.958351850509644
"""Haymarket at Boston Public Market""",42.3616,-71.0574,9/9/2023,4.103063106536865
"""Kick It By Eliza""",42.3652,-71.0642,9/9/2023,3.184019565582275
"""MASS MOCA""",42.6388,-73.0961,9/9/2023,314.1971130371094
"""North End Secret Food Tour""",42.3654,-71.055,9/9/2023,4.817106246948242
"""Ringling Bros and Barnum & Bailey Circus""",42.3493,-71.0821,9/9/2023,2.758778810501099
"""Strolling Jazz in the Courtyard""",42.3613,-71.0803,9/9/2023,2.97297191619873
"""Sunset Cruise""",42.3535,-71.0442,9/9/2023,0.0
"""Salem Witch City 5K""",42.5203,-70.9072,9/9/2023,2.494377136230469
"""Architectural Walking Tour of Harvard Yard""",42.3736,-71.1187,9/9/2023,6.581562042236328
"""Boston Ghosts and Gravestones Tour""",42.3594,-71.0594,9/9/2023,12.15215682983398
"""Boston Pizza Tours""",42.3616,-71.0574,9/9/2023,4.103063106536865
"""Fenway Park Tours""",42.3464,-71.0974,9/9/2023,4.877617359161377
"""Hans Hofmann: The Nature of Abstraction""",42.3482,-71.0839,9/9/2023,5.657288551330566
"""MIT Public Art Collection""",42.3601,-71.0905,9/1/2023,2.682325601577759
"""Museum of Fine Arts""",42.3394,-71.0941,9/1/2023,4.529887199401855
"""Museum of Science""",42.3674,-71.0711,9/1/2023,1.779823899269104
"""New England Holocaust Memorial""",42.3624,-71.0684,9/1/2023,3.175137281417847
"""The Boston Freedom Trail""",42.3581,-71.0636,9/1/2023,29.87307739257812
"""The Mary Baker Eddy Library""",42.3434,-71.0863,9/1/2023,3.817130327224731
"""The Paul Revere House""",42.3631,-71.0546,9/1/2023,3.606144905090332
"""Wheelock Family Theatre""",42.3382,-71.1027,9/1/2023,3.811987638473511
"""It Happened Here: Boston History Tour""",42.3579,-71.059,9/1/2023,11.4715747833252
"""USS Constitution Museum""",42.3734,-71.0553,9/1/2023,2.097306251525879
"""Barrington Stage Company - Chesterwood""",42.33,-73.3039,9/1/2023,298.7725524902344
"""Barrington Stage Company - Wolfson""",42.3491,-73.2812,9/1/2023,356.0019836425781
"""Jacob's Pillow Dance""",42.2279,-73.2555,9/1/2023,566.5372314453125
"""The Clark Art Institute""",42.6272,-73.2054,6/7/2023,588.8506469726562
"""Williamstown Theatre Festival""",42.7143,-73.2033,6/7/2023,212.3152770996094
"""Yoga on the Mountain""",42.3326,-73.1186,6/7/2023,480.8798828125
"""Jacob's Pillow Dance - Inside/Out Performance Series""",42.2259,-73.2558,6/7/2023,590.8400268554688
"""Animals in August at Hancock Shaker Village""",42.4411,-73.308,6/7/2023,323.7171936035156
"""Becket Land Trust Historic Quarry and Forest""",42.2939,-73.1107,6/7/2023,525.3575439453125
"""Naumkeag""",42.2779,-73.3245,6/7/2023,250.2644653320312
"""Ventfort Hall Mansion and Gilded Age Museum""",42.3637,-73.2834,6/7/2023,404.2306213378906
"""Arrowhead""",42.4491,-73.283,6/7/2023,316.7129821777344
"""The Mount""",42.3531,-73.3052,6/7/2023,321.1619262695312
"""Norman Rockwell Museum""",42.3566,-73.2911,6/7/2023,354.1950378417969
"""Shaker Museum - Mount Lebanon""",42.44,-73.3452,3/25/2023,427.2630920410156
"""Chesterwood""",42.3342,-73.2426,3/25/2023,296.40869140625
"""The Green""",42.7145,-73.2007,3/25/2023,199.3477630615234
"""Winter Study 2023""",42.7125,-73.2039,3/25/2023,211.8651123046875
"""The Great Barrington Rotary Club""",42.1954,-73.3626,3/25/2023,216.4058074951172
"""Norman Rockwell Museum's Chesterwood""",42.3332,-73.2394,3/25/2023,315.7508544921875
"""Norman Rockwell Museum in Stockbridge""",42.2832,-73.3317,3/25/2023,257.4688415527344
"""Turn Park Art Space""",42.5016,-73.2123,3/25/2023,307.0918579101562
"""The Skin of Our Teeth at The Center for Performing Arts at Rhinebeck""",41.9312,-73.908,3/25/2023,62.07277679443359
"""Brushwood Folklore Center""",42.0973,-78.2246,3/25/2023,623.538330078125
"""The Tavern at the Beekman Arms""",41.9214,-73.9132,3/25/2023,57.7873420715332
"""Rough House Theater""",42.2827,-83.7453,3/25/2023,256.7714233398438
"""Gerald W. Lynch Theater""",40.7719,-73.9831,3/25/2023,22.81873321533203
"""The Lion King""",40.7565,-73.9863,3/25/2023,18.93057441711426
"""Jersey Boys""",40.7587,-73.9886,3/25/2023,15.93588829040527
"""Wicked""",40.7142,-74.0064,3/25/2023,10.48768138885498
"""El Museo Del Barrio""",40.7923,-73.9385,3/25/2023,3.964649677276611
"""National September 11 Memorial & Museum""",40.7115,-74.0124,3/1/2023,11.10354995727539
"""Green-Wood Cemetery""",40.6577,-73.9905,3/1/2023,48.84235000610352
"""Whitney Museum of American Art""",40.7395,-74.0089,3/1/2023,4.239757537841797
"""Brooklyn Botanic Garden""",40.6689,-73.9654,3/1/2023,43.59590911865234
"""Bronx Museum of the Arts""",40.8314,-73.9192,3/1/2023,28.46698570251465
"""Wave Hill""",40.8987,-73.9141,3/1/2023,15.43127346038818
"""New York Hall of Science""",40.7474,-73.851,3/1/2023,8.388627052307129
"""Storm King Art Center""",41.4429,-74.1332,3/1/2023,108.8273239135742
"""Caramoor Center for Music and the Arts""",41.2381,-73.6454,3/1/2023,165.0164337158203
"""Katonah Museum of Art""",41.2625,-73.6819,3/1/2023,58.0
"""Bedford Playhouse""",41.2035,-73.6419,3/1/2023,113.5065231323242
"""Jacob Burns Film Center""",41.1299,-73.7738,3/1/2023,116.3422241210938
"""Hudson Valley Shakespeare Festival""",41.4307,-73.8689,3/1/2023,288.5096130371094
"""Teatown Lake Reservation""",41.2383,-73.8661,3/1/2023,73.67404174804688
"""Lyndhurst Mansion""",41.052,-73.8695,1/2/2023,15.03760623931885
"""Caramoor Center for Music and the Arts""",41.2381,-73.6454,1/2/2023,165.0164337158203
"""Wave Hill""",40.8987,-73.9141,1/2/2023,15.43127346038818
"""New York Hall of Science""",40.7474,-73.851,1/2/2023,8.388627052307129
"""Storm King Art Center""",41.4429,-74.1332,1/2/2023,108.8273239135742
"""Caramoor Center for Music and the Arts""",41.2381,-73.6454,1/2/2023,165.0164337158203
"""Katonah Museum of Art""",41.2625,-73.6819,1/2/2023,58.0
"""Bedford Playhouse""",41.2035,-73.6419,1/2/2023,113.5065231323242
"""Jacob Burns Film Center""",41.1299,-73.7738,1/2/2023,116.3422241210938
"""Hudson Valley Shakespeare Festival""",41.4307,-73.8689,1/2/2023,288.5096130371094
"""Teatown Lake Reservation""",41.2383,-73.8661,1/2/2023,73.67404174804688
"""Lyndhurst Mansion""",41.052,-73.8695,1/2/2023,15.03760623931885
"""Dia Beacon""",41.5001,-73.9677,1/2/2023,42.38065338134766
"""Dia Chelsea""",40.7463,-74.0061,1/2/2023,3.51075005531311
"""The Rubin Museum of Art""",40.7406,-73.9972,1/2/2023,12.89376544952393
"""American Museum of Natural History""",40.7813,-73.9739,1/2/2023,30.24661636352539
"""Museum of Modern Art (MoMA)""",40.7614,-73.9776,1/2/2023,21.82638740539551
"""The Metropolitan Museum of Art""",40.7794,-73.9632,1/2/2023,30.86842155456543
"""Solomon R. Guggenheim Museum""",40.783,-73.959,1/2/2023,34.69426345825195
"""The Whitney Museum of American Art""",40.7394,-74.0089,1/2/2023,3.900328159332275
"""The Frick Collection""",40.77,-73.9679,1/2/2023,25.06949615478516
"""The Cloisters Museum and Gardens""",40.8648,-73.9319,1/2/2023,58.30593490600586
"""The Jewish Museum""",40.7853,-73.9576,1/5/2023,31.81795310974121
"""Museum of the City of New York""",40.7924,-73.9518,1/5/2023,13.46830940246582
"""The Morgan Library & Museum""",40.7493,-73.9813,1/5/2023,25.0
"""The New York Public Library - Stephen A. Schwarzman Building""",40.7532,-73.9827,1/5/2023,24.48752403259277
"""Staten Island Museum""",40.6069,-74.0989,1/5/2023,102.0099792480469
"""Alice Austen House""",40.6155,-74.063,1/5/2023,3.384440183639526
"""National Lighthouse Museum""",40.6437,-74.0732,1/5/2023,12.75501155853271
"""Snug Harbor Cultural Center & Botanical Garden""",40.6423,-74.1019,1/5/2023,15.47895336151123
"""Fraunces Tavern Museum""",40.7023,-74.0105,1/5/2023,5.041691303253174
"""The Skyscraper Museum""",40.7086,-74.0176,1/5/2023,4.125253677368164
"""National Museum of the American Indian""",40.704,-74.0137,1/5/2023,7.171919822692871
"""Whitney Museum of American Art""",40.7395,-74.0089,1/5/2023,4.239757537841797
